poligono_id,anio,no2_mean_mol_m2,no2_relativo_bbox
a_3_2_sector_b,2019,1.321978e-05,1.038
a_3_2_sector_b,2020,1.218949e-05,1.0569
a_3_2_sector_b,2021,1.398699e-05,1.0769
a_3_2_sector_b,2022,1.287924e-05,0.9999
a_3_2_sector_b,2023,1.520234e-05,1.1362
a_3_2_sector_b,2024,1.267337e-05,1.0101
a_3_2_sector_b,2025,1.382504e-05,1.061
colonia_laosiana,2019,1.278188e-05,1.0036
colonia_laosiana,2020,1.240258e-05,1.0754
colonia_laosiana,2021,1.356887e-05,1.0447
colonia_laosiana,2022,1.287286e-05,0.9994
colonia_laosiana,2023,1.346547e-05,1.0063
colonia_laosiana,2024,1.215820e-05,0.969
colonia_laosiana,2025,1.362720e-05,1.0458
san_jorge,2019,1.355034e-05,1.0639
san_jorge,2020,1.216349e-05,1.0547
san_jorge,2021,1.411921e-05,1.0871
san_jorge,2022,1.346622e-05,1.0455
san_jorge,2023,1.547410e-05,1.1565
san_jorge,2024,1.366517e-05,1.0891
san_jorge,2025,1.313061e-05,1.0077
23_de_septiembre,2019,1.543773e-05,1.2121
23_de_septiembre,2020,1.307115e-05,1.1334
23_de_septiembre,2021,1.593484e-05,1.2269
23_de_septiembre,2022,1.601018e-05,1.243
23_de_septiembre,2023,1.617383e-05,1.2088
23_de_septiembre,2024,1.518978e-05,1.2106
23_de_septiembre,2025,1.468702e-05,1.1271
villa_mola,2019,1.581223e-05,1.2415
villa_mola,2020,1.245648e-05,1.0801
villa_mola,2021,1.481374e-05,1.1406
villa_mola,2022,1.541427e-05,1.1967
villa_mola,2023,1.491010e-05,1.1143
villa_mola,2024,1.488076e-05,1.186
villa_mola,2025,1.410571e-05,1.0825
san_marcos,2019,1.349242e-05,1.0594
san_marcos,2020,1.172954e-05,1.0171
san_marcos,2021,1.436922e-05,1.1063
san_marcos,2022,1.303183e-05,1.0117
san_marcos,2023,1.511992e-05,1.13
san_marcos,2024,1.335579e-05,1.0645
san_marcos,2025,1.321071e-05,1.0138
las_dolores,2019,1.290928e-05,1.0136
las_dolores,2020,1.176990e-05,1.0206
las_dolores,2021,1.358482e-05,1.0459
las_dolores,2022,1.316446e-05,1.022
las_dolores,2023,1.427983e-05,1.0672
las_dolores,2024,1.309351e-05,1.0436
las_dolores,2025,1.314077e-05,1.0085
el_palomar,2019,1.515547e-05,1.19
el_palomar,2020,1.257716e-05,1.0906
el_palomar,2021,1.539333e-05,1.1852
el_palomar,2022,1.521593e-05,1.1813
el_palomar,2023,1.583632e-05,1.1835
el_palomar,2024,1.503764e-05,1.1985
el_palomar,2025,1.405281e-05,1.0785
alta_gracia,2019,1.477481e-05,1.1601
alta_gracia,2020,1.275476e-05,1.106
alta_gracia,2021,1.547063e-05,1.1911
alta_gracia,2022,1.531276e-05,1.1888
alta_gracia,2023,1.645796e-05,1.23
alta_gracia,2024,1.482881e-05,1.1819
alta_gracia,2025,1.436697e-05,1.1026
santa_rita,2019,1.525580e-05,1.1978
santa_rita,2020,1.333998e-05,1.1567
santa_rita,2021,1.724748e-05,1.3279
santa_rita,2022,1.622267e-05,1.2595
santa_rita,2023,1.625866e-05,1.2151
santa_rita,2024,1.502906e-05,1.1978
santa_rita,2025,1.541942e-05,1.1833
san_martin,2019,1.576528e-05,1.2378
san_martin,2020,1.348646e-05,1.1694
san_martin,2021,1.721655e-05,1.3256
san_martin,2022,1.707011e-05,1.3252
