poligono_id,anio,estacion,uhi_vs_rural_mean,uhi_vs_ciudad_mean,lst_mean,n_meses
23_de_septiembre,2018,invierno,0.89,0.63,22.74,1
23_de_septiembre,2018,otono,2.69,1.73,31.45,3
23_de_septiembre,2018,primavera,5.24,2.94,36.81,3
23_de_septiembre,2018,verano,3.02,3.01,38.21,1
23_de_septiembre,2019,invierno,1.36,0.62,23.08,2
23_de_septiembre,2019,otono,6.94,4.26,37.74,2
23_de_septiembre,2019,primavera,6.4,2.97,37.37,3
23_de_septiembre,2019,verano,6.66,3.7,42.11,2
23_de_septiembre,2020,invierno,1.5,0.97,24.07,1
23_de_septiembre,2020,otono,3.73,1.28,28.29,3
23_de_septiembre,2020,primavera,2.61,1.59,41.37,2
23_de_septiembre,2020,verano,5.68,2.87,41.72,2
23_de_septiembre,2021,invierno,0.32,0.67,19.55,2
23_de_septiembre,2021,otono,1.53,1.62,32.61,3
23_de_septiembre,2021,primavera,5.39,2.53,38.24,3
23_de_septiembre,2021,verano,3.64,1.96,42.56,2
23_de_septiembre,2022,invierno,3.16,1.46,23.68,2
23_de_septiembre,2022,otono,2.32,1.18,27.91,3
23_de_septiembre,2022,primavera,3.99,2.12,34.5,3
23_de_septiembre,2022,verano,5.66,2.37,46.18,2
23_de_septiembre,2023,invierno,1.25,0.41,26.29,3
23_de_septiembre,2023,otono,3.0,1.4,31.27,3
23_de_septiembre,2023,primavera,5.45,2.58,37.71,3
23_de_septiembre,2023,verano,3.44,2.15,43.77,3
23_de_septiembre,2024,invierno,2.35,1.04,20.23,3
23_de_septiembre,2024,otono,0.6,0.17,29.16,3
23_de_septiembre,2024,primavera,5.94,2.48,36.17,3
23_de_septiembre,2024,verano,8.69,3.37,46.18,3
23_de_septiembre,2025,invierno,1.0,0.18,17.91,3
23_de_septiembre,2025,otono,1.63,0.84,29.8,3
23_de_septiembre,2025,primavera,5.75,2.53,36.13,3
23_de_septiembre,2025,verano,5.13,2.52,43.38,3
23_de_septiembre,2026,otono,7.88,3.43,41.25,1
23_de_septiembre,2026,verano,5.97,2.9,43.51,3
a4_nueva_esperanza,2018,invierno,2.45,2.19,24.3,1
a4_nueva_esperanza,2018,otono,4.13,3.17,32.89,3
a4_nueva_esperanza,2018,primavera,5.53,3.23,37.1,3
a4_nueva_esperanza,2018,verano,3.49,3.48,38.68,1
a4_nueva_esperanza,2019,invierno,3.39,2.64,25.11,2
a4_nueva_esperanza,2019,otono,6.3,3.62,37.1,2
a4_nueva_esperanza,2019,primavera,7.36,3.92,38.33,3
a4_nueva_esperanza,2019,verano,6.58,3.62,42.03,2
a4_nueva_esperanza,2020,invierno,2.42,1.89,24.99,1
a4_nueva_esperanza,2020,otono,5.27,2.82,29.82,3
a4_nueva_esperanza,2020,primavera,3.86,2.84,42.62,2
a4_nueva_esperanza,2020,verano,6.42,3.62,42.47,2
a4_nueva_esperanza,2021,invierno,1.27,1.61,20.48,2
a4_nueva_esperanza,2021,otono,2.84,2.93,33.92,3
a4_nueva_esperanza,2021,primavera,6.28,3.42,39.13,3
a4_nueva_esperanza,2021,verano,5.16,3.48,44.09,2
a4_nueva_esperanza,2022,invierno,4.23,2.54,24.76,2
a4_nueva_esperanza,2022,otono,4.11,2.97,29.7,3
a4_nueva_esperanza,2022,primavera,6.35,4.49,36.86,3
a4_nueva_esperanza,2022,verano,7.06,3.75,47.56,2
a4_nueva_esperanza,2023,invierno,3.7,2.86,28.74,3
a4_nueva_esperanza,2023,otono,5.0,3.4,33.27,3
a4_nueva_esperanza,2023,primavera,7.12,4.24,39.38,3
a4_nueva_esperanza,2023,verano,5.31,4.02,45.64,3
a4_nueva_esperanza,2024,invierno,4.1,2.79,21.98,3
a4_nueva_esperanza,2024,otono,2.66,2.23,31.22,3
a4_nueva_esperanza,2024,primavera,7.73,4.27,37.96,3
a4_nueva_esperanza,2024,verano,9.84,4.52,47.32,3
