poligono_id,anio,mes,lst_mean,uhi_vs_rural,uhi_vs_ciudad,uhi_anomalia,lst_rural_baseline,n_observaciones_historico,std_historico,fuente_lst,confianza_cross_sensor
a_3_2_sector_b,2018,2,35.22,0.03,0.21,,35.19,0,,landsat,
colonia_laosiana,2018,2,31.88,-3.31,-3.13,,35.19,0,,landsat,
23_de_septiembre,2018,2,38.21,3.02,3.2,,35.19,0,,landsat,
villa_mola,2018,2,37.24,2.05,2.23,,35.19,0,,landsat,
san_marcos,2018,2,33.36,-1.83,-1.65,,35.19,0,,landsat,
las_dolores,2018,2,34.68,-0.51,-0.33,,35.19,0,,landsat,
el_palomar,2018,2,37.23,2.04,2.22,,35.19,0,,landsat,
alta_gracia,2018,2,35.36,0.17,0.35,,35.19,0,,landsat,
santa_rita,2018,2,35.8,0.61,0.79,,35.19,0,,landsat,
san_martin,2018,2,36.38,1.19,1.37,,35.19,0,,landsat,
villa_sarita,2018,2,35.24,0.05,0.23,,35.19,0,,landsat,
el_brete,2018,2,34.6,-0.59,-0.41,,35.19,0,,landsat,
luis_piedrabuena,2018,2,34.52,-0.67,-0.49,,35.19,0,,landsat,
san_lucas,2018,2,34.34,-0.85,-0.67,,35.19,0,,landsat,
monsenor_kemerer,2018,2,35.53,0.34,0.52,,35.19,0,,landsat,
rocamora,2018,2,37.03,1.84,2.02,,35.19,0,,landsat,
yacyreta,2018,2,36.11,0.92,1.1,,35.19,0,,landsat,
villa_urquiza,2018,2,37.21,2.02,2.2,,35.19,0,,landsat,
complejo_habitacional_virgen_de_fatima,2018,2,36.68,1.49,1.67,,35.19,0,,landsat,
a4_nueva_esperanza,2018,2,38.68,3.49,3.67,,35.19,0,,landsat,
el_laurel,2018,2,30.9,-4.29,-4.11,,35.19,0,,landsat,
cima_del_sol,2018,2,33.8,-1.39,-1.21,,35.19,0,,landsat,
san_isidro,2018,2,36.27,1.08,1.26,,35.19,0,,landsat,
