anio,fuente_satelite,fecha_imagen,n_poligonos_cubiertos,calidad
1999,CBERS-1/2/2B (no accesible vía API anónima),,0,no_disponible
2000,CBERS-1/2/2B (no accesible vía API anónima),,0,no_disponible
2001,CBERS-1/2/2B (no accesible vía API anónima),,0,no_disponible
2002,CBERS-1/2/2B (no accesible vía API anónima),,0,no_disponible
2003,CBERS-1/2/2B (no accesible vía API anónima),,0,no_disponible
2004,CBERS-1/2/2B (no accesible vía API anónima),,0,no_disponible
2005,CBERS-1/2/2B (no accesible vía API anónima),,0,no_disponible
2006,CBERS-1/2/2B (no accesible vía API anónima),,0,no_disponible
2007,CBERS-1/2/2B (no accesible vía API anónima),,0,no_disponible
2008,CBERS-1/2/2B (no accesible vía API anónima),,0,no_disponible
2009,CBERS-1/2/2B (no accesible vía API anónima),,0,no_disponible
2010,CBERS-1/2/2B (no accesible vía API anónima),,0,no_disponible
2011,CBERS-1/2/2B (no accesible vía API anónima),,0,no_disponible
2012,CBERS-1/2/2B (no accesible vía API anónima),,0,no_disponible
2013,CBERS-1/2/2B (no accesible vía API anónima),,0,no_disponible
2015,CBERS-4 PAN10M,2015-04-24,43,alta
2016,CBERS-4 PAN10M,2016-03-01,43,alta
2017,CBERS-4 PAN10M,2017-05-17,43,alta
2018,CBERS-4 PAN10M,2018-01-06,43,alta
2019,CBERS-4 PAN10M,2019-01-05,43,alta
2020,CBERS-4 PAN10M,2020-01-07,43,alta
2021,CBERS-4 PAN10M,2021-02-26,43,alta
2022,CBERS-4 PAN10M,2022-01-30,43,alta
2024,CBERS-4 PAN10M,2024-08-23,43,alta
2025,CBERS-4 PAN10M,2025-05-10,43,alta
