fecha,poligonos_afectados,area_inundada_km2,fuente_principal,fuente_validacion,confianza
2025-10-13,,144.73,CBERS-4 AWFI NDWI,no_disponible,baja
2025-11-02,,34.25,CBERS-4 AWFI NDWI,no_disponible,baja
2025-11-05,,0.66,CBERS-4 AWFI NDWI,no_disponible,baja
2025-12-04,,150.52,CBERS-4 AWFI NDWI,no_disponible,baja
2025-12-24,,1.61,CBERS-4 AWFI NDWI,no_disponible,baja
2025-12-27,,152.8,CBERS-4 AWFI NDWI,no_disponible,baja
2025-12-30,,6.64,CBERS-4 AWFI NDWI,no_disponible,baja
2026-01-19,,22.56,CBERS-4 AWFI NDWI,no_disponible,baja
2026-01-22,,149.87,CBERS-4 AWFI NDWI,no_disponible,baja
2026-01-25,,143.98,CBERS-4 AWFI NDWI,no_disponible,baja
2026-03-18,,150.1,CBERS-4 AWFI NDWI,no_disponible,baja
2026-04-13,,126.68,CBERS-4 AWFI NDWI,no_disponible,baja
