poligono_id,fecha,n_edificios_min,n_edificios_estimado,n_edificios_max
a_3_2_sector_b,2018-07,98,116,134
a_3_2_sector_b,2019-07,140,165,190
a_3_2_sector_b,2020-07,141,166,191
a_3_2_sector_b,2021-07,175,207,239
a_3_2_sector_b,2022-07,176,208,240
a_3_2_sector_b,2023-07,184,217,250
a_3_2_sector_b,2024-07,188,222,256
a_3_2_sector_b,2025-07,189,223,257
colonia_laosiana,2018-07,0,0,0
colonia_laosiana,2019-07,0,1,2
colonia_laosiana,2020-07,0,1,2
colonia_laosiana,2021-07,0,1,2
colonia_laosiana,2022-07,0,1,2
colonia_laosiana,2023-07,0,1,2
colonia_laosiana,2024-07,0,1,2
colonia_laosiana,2025-07,0,1,2
san_jorge,2018-07,357,421,485
san_jorge,2019-07,392,462,532
san_jorge,2020-07,394,464,534
san_jorge,2021-07,396,466,536
san_jorge,2022-07,397,468,539
san_jorge,2023-07,403,475,547
san_jorge,2024-07,407,479,551
san_jorge,2025-07,407,479,551
23_de_septiembre,2018-07,300,354,408
23_de_septiembre,2019-07,373,439,505
23_de_septiembre,2020-07,387,456,525
23_de_septiembre,2021-07,415,489,563
23_de_septiembre,2022-07,430,506,582
23_de_septiembre,2023-07,441,519,597
23_de_septiembre,2024-07,459,540,621
23_de_septiembre,2025-07,470,553,636
villa_mola,2018-07,75,89,103
villa_mola,2019-07,88,104,120
villa_mola,2020-07,90,106,122
villa_mola,2021-07,94,111,128
villa_mola,2022-07,96,114,132
villa_mola,2023-07,103,122,141
villa_mola,2024-07,105,124,143
villa_mola,2025-07,107,126,145
san_marcos,2018-07,95,112,129
san_marcos,2019-07,131,155,179
san_marcos,2020-07,136,160,184
san_marcos,2021-07,152,179,206
san_marcos,2022-07,156,184,212
san_marcos,2023-07,169,199,229
san_marcos,2024-07,183,216,249
san_marcos,2025-07,191,225,259
las_dolores,2018-07,107,127,147
las_dolores,2019-07,114,135,156
las_dolores,2020-07,114,135,156
las_dolores,2021-07,124,147,170
las_dolores,2022-07,127,150,173
las_dolores,2023-07,129,152,175
las_dolores,2024-07,133,157,181
las_dolores,2025-07,136,161,186
el_palomar,2018-07,1146,1349,1552
el_palomar,2019-07,1266,1490,1714
el_palomar,2020-07,1285,1512,1739
el_palomar,2021-07,1331,1566,1801
el_palomar,2022-07,1343,1581,1819
el_palomar,2023-07,1365,1607,1849
el_palomar,2024-07,1399,1647,1895
el_palomar,2025-07,1405,1654,1903
alta_gracia,2018-07,200,236,272
alta_gracia,2019-07,275,324,373
alta_gracia,2020-07,294,346,398
alta_gracia,2021-07,323,381,439
alta_gracia,2022-07,332,391,450
alta_gracia,2023-07,364,429,494
alta_gracia,2024-07,386,455,524
alta_gracia,2025-07,400,471,542
santa_rita,2018-07,453,534,615
santa_rita,2019-07,603,710,817
santa_rita,2020-07,628,739,850
santa_rita,2021-07,681,802,923
santa_rita,2022-07,692,815,938
santa_rita,2023-07,725,854,983
santa_rita,2024-07,759,894,1029
santa_rita,2025-07,766,902,1038
san_martin,2018-07,550,648,746
san_martin,2019-07,711,837,963
san_martin,2020-07,766,902,1038
san_martin,2021-07,882,1038,1194
san_martin,2022-07,905,1065,1225
san_martin,2023-07,941,1108,1275
san_martin,2024-07,1003,1181,1359
san_martin,2025-07,1021,1202,1383
villa_sarita,2018-07,1052,1238,1424
villa_sarita,2019-07,1173,1381,1589
villa_sarita,2020-07,1197,1409,1621
villa_sarita,2021-07,1246,1467,1688
villa_sarita,2022-07,1271,1496,1721
villa_sarita,2023-07,1297,1527,1757
villa_sarita,2024-07,1319,1552,1785
villa_sarita,2025-07,1328,1563,1798
el_brete,2018-07,516,608,700
el_brete,2019-07,654,770,886
el_brete,2020-07,672,791,910
el_brete,2021-07,734,864,994
el_brete,2022-07,749,882,1015
el_brete,2023-07,779,917,1055
el_brete,2024-07,820,965,1110
el_brete,2025-07,845,995,1145
luis_piedrabuena,2018-07,228,269,310
luis_piedrabuena,2019-07,306,360,414
luis_piedrabuena,2020-07,313,369,425
luis_piedrabuena,2021-07,340,401,462
luis_piedrabuena,2022-07,350,412,474
luis_piedrabuena,2023-07,372,438,504
luis_piedrabuena,2024-07,393,463,533
luis_piedrabuena,2025-07,406,478,550
san_lucas,2018-07,124,146,168
san_lucas,2019-07,173,204,235
san_lucas,2020-07,187,220,253
san_lucas,2021-07,208,245,282
san_lucas,2022-07,215,254,293
san_lucas,2023-07,261,308,355
san_lucas,2024-07,282,332,382
san_lucas,2025-07,296,349,402
monsenor_kemerer,2018-07,723,851,979
monsenor_kemerer,2019-07,863,1016,1169
monsenor_kemerer,2020-07,893,1051,1209
monsenor_kemerer,2021-07,967,1138,1309
monsenor_kemerer,2022-07,997,1173,1349
monsenor_kemerer,2023-07,1040,1224,1408
monsenor_kemerer,2024-07,1093,1286,1479
monsenor_kemerer,2025-07,1124,1323,1522
rocamora,2018-07,833,980,1127
rocamora,2019-07,975,1148,1321
rocamora,2020-07,1007,1185,1363
rocamora,2021-07,1066,1255,1444
rocamora,2022-07,1093,1287,1481
rocamora,2023-07,1131,1331,1531
rocamora,2024-07,1200,1412,1624
rocamora,2025-07,1206,1419,1632
yacyreta,2018-07,514,605,696
yacyreta,2019-07,712,838,964
yacyreta,2020-07,756,890,1024
yacyreta,2021-07,879,1035,1191
yacyreta,2022-07,907,1068,1229
yacyreta,2023-07,943,1110,1277
yacyreta,2024-07,1057,1244,1431
yacyreta,2025-07,1076,1266,1456
