poligono_id,fecha,n_edificios_min,n_edificios_estimado,n_edificios_max
a_3_2_sector_b,2018-07,164,193,222
a_3_2_sector_b,2019-07,229,270,311
a_3_2_sector_b,2020-07,232,273,314
a_3_2_sector_b,2021-07,277,327,377
a_3_2_sector_b,2022-07,285,336,387
a_3_2_sector_b,2023-07,300,353,406
a_3_2_sector_b,2024-07,307,362,417
a_3_2_sector_b,2025-07,312,368,424
colonia_laosiana,2018-07,0,0,0
colonia_laosiana,2019-07,0,1,2
colonia_laosiana,2020-07,0,1,2
colonia_laosiana,2021-07,0,1,2
colonia_laosiana,2022-07,0,1,2
colonia_laosiana,2023-07,0,1,2
colonia_laosiana,2024-07,0,1,2
colonia_laosiana,2025-07,0,1,2
san_jorge,2018-07,363,428,493
san_jorge,2019-07,402,473,544
san_jorge,2020-07,404,476,548
san_jorge,2021-07,410,483,556
san_jorge,2022-07,412,485,558
san_jorge,2023-07,418,492,566
san_jorge,2024-07,423,498,573
san_jorge,2025-07,423,498,573
23_de_septiembre,2018-07,346,408,470
23_de_septiembre,2019-07,430,506,582
23_de_septiembre,2020-07,445,524,603
23_de_septiembre,2021-07,475,559,643
23_de_septiembre,2022-07,489,576,663
23_de_septiembre,2023-07,502,591,680
23_de_septiembre,2024-07,523,616,709
23_de_septiembre,2025-07,536,631,726
villa_mola,2018-07,337,397,457
villa_mola,2019-07,391,460,529
villa_mola,2020-07,399,470,541
villa_mola,2021-07,414,488,562
villa_mola,2022-07,425,500,575
villa_mola,2023-07,447,527,607
villa_mola,2024-07,455,536,617
villa_mola,2025-07,460,542,624
san_marcos,2018-07,95,112,129
san_marcos,2019-07,131,155,179
san_marcos,2020-07,136,160,184
san_marcos,2021-07,152,179,206
san_marcos,2022-07,156,184,212
san_marcos,2023-07,169,199,229
san_marcos,2024-07,183,216,249
san_marcos,2025-07,191,225,259
las_dolores,2018-07,251,296,341
las_dolores,2019-07,283,333,383
las_dolores,2020-07,287,338,389
las_dolores,2021-07,309,364,419
las_dolores,2022-07,318,375,432
las_dolores,2023-07,328,387,446
las_dolores,2024-07,341,402,463
las_dolores,2025-07,346,408,470
el_palomar,2018-07,1512,1779,2046
el_palomar,2019-07,1689,1988,2287
el_palomar,2020-07,1716,2019,2322
el_palomar,2021-07,1791,2108,2425
el_palomar,2022-07,1814,2135,2456
el_palomar,2023-07,1850,2177,2504
el_palomar,2024-07,1899,2235,2571
el_palomar,2025-07,1915,2253,2591
alta_gracia,2018-07,214,252,290
alta_gracia,2019-07,296,349,402
alta_gracia,2020-07,316,372,428
alta_gracia,2021-07,348,410,472
alta_gracia,2022-07,358,422,486
alta_gracia,2023-07,393,463,533
alta_gracia,2024-07,419,493,567
alta_gracia,2025-07,434,511,588
santa_rita,2018-07,503,592,681
santa_rita,2019-07,665,783,901
santa_rita,2020-07,691,813,935
santa_rita,2021-07,746,878,1010
santa_rita,2022-07,757,891,1025
santa_rita,2023-07,790,930,1070
santa_rita,2024-07,826,972,1118
santa_rita,2025-07,833,980,1127
san_martin,2018-07,572,673,774
san_martin,2019-07,739,870,1001
san_martin,2020-07,798,939,1080
san_martin,2021-07,918,1080,1242
san_martin,2022-07,942,1109,1276
san_martin,2023-07,986,1160,1334
san_martin,2024-07,1050,1236,1422
san_martin,2025-07,1068,1257,1446
villa_sarita,2018-07,1329,1564,1799
villa_sarita,2019-07,1471,1731,1991
villa_sarita,2020-07,1496,1761,2026
villa_sarita,2021-07,1556,1831,2106
villa_sarita,2022-07,1581,1861,2141
villa_sarita,2023-07,1611,1896,2181
villa_sarita,2024-07,1636,1925,2214
villa_sarita,2025-07,1647,1938,2229
el_brete,2018-07,516,608,700
el_brete,2019-07,654,770,886
el_brete,2020-07,672,791,910
el_brete,2021-07,734,864,994
el_brete,2022-07,749,882,1015
el_brete,2023-07,779,917,1055
el_brete,2024-07,820,965,1110
el_brete,2025-07,845,995,1145
luis_piedrabuena,2018-07,251,296,341
luis_piedrabuena,2019-07,345,407,469
luis_piedrabuena,2020-07,362,427,492
luis_piedrabuena,2021-07,397,468,539
luis_piedrabuena,2022-07,410,483,556
luis_piedrabuena,2023-07,442,521,600
luis_piedrabuena,2024-07,470,554,638
luis_piedrabuena,2025-07,485,571,657
