time,temp_p10,temp_p50,temp_p90,rh_p50,precip_p50,wind_p50
2026-04-28T00:00,8.3,10.75,15.6,69.0,0.0,7.15
2026-04-28T01:00,8.0,10.3,15.3,70.0,0.0,6.85
2026-04-28T02:00,7.8,9.9,15.0,71.0,0.0,7.05
2026-04-28T03:00,7.6,9.5,14.7,72.0,0.0,7.3
2026-04-28T04:00,7.1,9.05,14.4,73.0,0.0,7.1
2026-04-28T05:00,6.6,8.6,14.2,74.0,0.0,6.8
2026-04-28T06:00,6.8,8.6,13.99,74.5,0.0,7.05
2026-04-28T07:00,8.0,9.4,13.8,73.0,0.0,7.8
2026-04-28T08:00,9.9,10.6,13.9,71.0,0.0,9.3
2026-04-28T09:00,11.8,12.4,14.4,65.5,0.0,10.4
2026-04-28T10:00,13.9,14.6,15.7,58.5,0.0,10.25
2026-04-28T11:00,16.11,16.8,17.29,52.0,0.0,9.6
2026-04-28T12:00,17.9,18.4,19.38,47.0,0.0,9.2
2026-04-28T13:00,19.11,19.7,20.7,42.0,0.0,9.55
2026-04-28T14:00,20.1,20.75,21.68,39.0,0.0,10.7
2026-04-28T15:00,20.5,21.25,22.0,38.0,0.0,10.95
2026-04-28T16:00,19.6,20.9,21.9,41.0,0.0,10.35
2026-04-28T17:00,17.7,20.55,21.6,44.0,0.0,9.3
2026-04-28T18:00,16.01,19.35,21.2,47.0,0.0,8.0
2026-04-28T19:00,14.71,17.8,20.39,53.0,0.0,6.8
2026-04-28T20:00,13.52,16.0,19.5,59.0,0.0,6.5
2026-04-28T21:00,12.3,14.7,18.9,63.0,0.0,6.8
2026-04-28T22:00,11.72,14.1,18.4,65.0,0.0,6.8
2026-04-28T23:00,11.41,13.7,18.09,66.0,0.0,6.85
2026-04-29T00:00,10.91,13.55,17.7,67.0,0.0,6.6
2026-04-29T01:00,10.6,12.8,17.49,69.0,0.0,5.85
2026-04-29T02:00,10.3,12.4,17.39,70.5,0.0,5.2
2026-04-29T03:00,9.91,12.0,17.29,72.0,0.0,5.4
2026-04-29T04:00,9.6,11.5,17.29,72.5,0.0,5.2
2026-04-29T05:00,9.31,11.4,17.19,73.0,0.0,5.05
2026-04-29T06:00,9.51,11.95,16.99,74.0,0.0,5.0
2026-04-29T07:00,10.2,12.45,16.7,75.0,0.0,5.1
2026-04-29T08:00,11.22,13.55,16.7,74.0,0.0,5.4
2026-04-29T09:00,13.01,14.95,17.7,69.5,0.0,5.85
2026-04-29T10:00,15.41,17.35,19.29,64.0,0.0,5.5
2026-04-29T11:00,17.53,20.05,21.09,58.0,0.0,5.4
2026-04-29T12:00,19.22,21.9,23.19,54.5,0.0,4.45
2026-04-29T13:00,20.41,22.9,24.38,53.0,0.0,3.35
2026-04-29T14:00,21.72,23.5,25.19,51.0,0.0,3.9
2026-04-29T15:00,22.23,23.8,25.59,51.0,0.0,4.7
2026-04-29T16:00,21.12,23.9,25.2,52.5,0.0,5.75
2026-04-29T17:00,19.32,23.6,24.6,54.0,0.0,5.75
2026-04-29T18:00,17.8,23.0,23.89,57.5,0.0,5.4
2026-04-29T19:00,16.32,21.4,22.9,66.0,0.0,4.9
2026-04-29T20:00,15.12,19.15,22.2,71.0,0.0,4.9
2026-04-29T21:00,14.21,17.65,21.8,74.5,0.0,5.0
2026-04-29T22:00,13.6,16.65,21.4,77.0,0.0,5.1
2026-04-29T23:00,13.1,15.95,21.0,79.0,0.0,5.05
2026-04-30T00:00,12.7,15.3,20.69,79.5,0.0,4.85
2026-04-30T01:00,12.31,14.75,20.4,81.0,0.0,4.7
2026-04-30T02:00,11.91,14.2,20.1,82.0,0.0,4.7
2026-04-30T03:00,11.62,13.8,19.99,83.5,0.0,4.85
2026-04-30T04:00,11.21,13.25,19.8,85.0,0.0,5.1
2026-04-30T05:00,10.81,12.8,19.69,85.0,0.0,5.4
2026-04-30T06:00,10.91,12.85,19.59,85.5,0.0,5.8
2026-04-30T07:00,11.7,13.5,19.58,84.0,0.0,6.0
2026-04-30T08:00,12.91,14.9,19.8,82.0,0.0,6.3
2026-04-30T09:00,14.73,16.5,21.0,77.0,0.0,7.2
2026-04-30T10:00,17.33,19.1,22.3,73.0,0.0,7.95
2026-04-30T11:00,20.02,22.15,23.9,67.0,0.0,8.85
2026-04-30T12:00,22.62,24.3,25.39,62.5,0.0,9.25
2026-04-30T13:00,24.3,25.7,26.5,59.5,0.0,9.2
2026-04-30T14:00,25.21,26.55,27.5,58.5,0.0,9.4
2026-04-30T15:00,25.31,27.05,28.09,59.0,0.0,8.95
2026-04-30T16:00,24.5,26.85,27.9,61.0,0.0,8.1
2026-04-30T17:00,22.9,26.0,27.6,64.0,0.0,6.85
2026-04-30T18:00,21.51,24.95,27.2,67.0,0.0,6.45
2026-04-30T19:00,20.81,23.55,26.6,71.0,0.0,6.45
2026-04-30T20:00,20.41,22.55,25.9,75.0,0.0,6.95
2026-04-30T21:00,19.9,22.05,25.39,77.0,0.0,8.0
2026-04-30T22:00,19.32,21.6,25.08,80.0,0.0,8.6
2026-04-30T23:00,19.13,21.25,24.7,81.5,0.0,9.05
