poligono_id,fecha,anio,mes,viirs_mean,viirs_sum
a_3_2_sector_b,2014-01-01,2014,1,41.0609,26.89
a_3_2_sector_b,2014-07-01,2014,7,36.2339,23.73
a_3_2_sector_b,2015-01-01,2015,1,34.1665,22.38
a_3_2_sector_b,2015-07-01,2015,7,46.8956,30.71
a_3_2_sector_b,2016-01-01,2016,1,43.1744,28.28
a_3_2_sector_b,2016-07-01,2016,7,48.0169,31.45
a_3_2_sector_b,2017-01-01,2017,1,41.4298,27.13
a_3_2_sector_b,2017-07-01,2017,7,42.5712,27.88
a_3_2_sector_b,2018-01-01,2018,1,35.8422,23.47
a_3_2_sector_b,2018-07-01,2018,7,40.3296,26.41
a_3_2_sector_b,2019-01-01,2019,1,36.715,24.04
a_3_2_sector_b,2019-07-01,2019,7,35.8514,23.48
a_3_2_sector_b,2020-01-01,2020,1,33.5495,21.97
a_3_2_sector_b,2020-07-01,2020,7,29.0217,19.01
a_3_2_sector_b,2021-01-01,2021,1,29.2315,19.14
a_3_2_sector_b,2021-07-01,2021,7,34.9234,22.87
a_3_2_sector_b,2022-01-01,2022,1,41.0704,26.9
a_3_2_sector_b,2022-07-01,2022,7,33.2108,21.75
a_3_2_sector_b,2023-01-01,2023,1,38.3976,25.15
a_3_2_sector_b,2023-07-01,2023,7,36.8004,24.1
a_3_2_sector_b,2024-01-01,2024,1,35.5635,23.29
a_3_2_sector_b,2024-07-01,2024,7,35.859,23.48
a_3_2_sector_b,2025-01-01,2025,1,35.9402,23.54
a_3_2_sector_b,2025-07-01,2025,7,37.9248,24.84
a_3_2_sector_b,2026-01-01,2026,1,40.2844,26.38
colonia_laosiana,2014-01-01,2014,1,1.9321,2.15
colonia_laosiana,2014-07-01,2014,7,1.7456,1.94
colonia_laosiana,2015-01-01,2015,1,2.3276,2.59
colonia_laosiana,2015-07-01,2015,7,2.5652,2.86
colonia_laosiana,2016-01-01,2016,1,4.7932,5.34
colonia_laosiana,2016-07-01,2016,7,6.2701,6.98
colonia_laosiana,2017-01-01,2017,1,9.8012,10.92
colonia_laosiana,2017-07-01,2017,7,10.8891,12.13
colonia_laosiana,2018-01-01,2018,1,8.8681,9.88
colonia_laosiana,2018-07-01,2018,7,14.7864,16.47
colonia_laosiana,2019-01-01,2019,1,11.1506,12.42
