poligono_id,fecha,poblacion_min,poblacion_estimada,poblacion_max,metodo
a_3_2_sector_b,2018-07,555,695,834,directo
a_3_2_sector_b,2019-07,777,972,1167,directo
a_3_2_sector_b,2020-07,786,983,1180,directo
a_3_2_sector_b,2021-07,941,1177,1413,directo
a_3_2_sector_b,2022-07,967,1210,1452,directo
a_3_2_sector_b,2023-07,1016,1271,1525,directo
a_3_2_sector_b,2024-07,1042,1303,1564,directo
a_3_2_sector_b,2025-07,1059,1325,1590,directo
colonia_laosiana,2018-07,0,0,0,directo
colonia_laosiana,2019-07,2,4,5,directo
colonia_laosiana,2020-07,2,4,5,directo
colonia_laosiana,2021-07,2,4,5,directo
colonia_laosiana,2022-07,2,4,5,directo
colonia_laosiana,2023-07,2,4,5,directo
colonia_laosiana,2024-07,2,4,5,directo
colonia_laosiana,2025-07,2,4,5,directo
san_jorge,2018-07,1232,1541,1849,directo
san_jorge,2019-07,1362,1703,2044,directo
san_jorge,2020-07,1370,1714,2057,directo
san_jorge,2021-07,1391,1739,2087,directo
san_jorge,2022-07,1396,1746,2096,directo
san_jorge,2023-07,1416,1771,2126,directo
san_jorge,2024-07,1434,1793,2152,directo
san_jorge,2025-07,1434,1793,2152,directo
23_de_septiembre,2018-07,1175,1469,1763,directo
23_de_septiembre,2019-07,1457,1822,2186,directo
23_de_septiembre,2020-07,1509,1886,2264,directo
23_de_septiembre,2021-07,1609,2012,2415,directo
23_de_septiembre,2022-07,1658,2074,2489,directo
23_de_septiembre,2023-07,1702,2128,2554,directo
23_de_septiembre,2024-07,1774,2218,2662,directo
23_de_septiembre,2025-07,1817,2272,2726,directo
villa_mola,2018-07,1143,1429,1716,directo
villa_mola,2019-07,1324,1656,1988,directo
villa_mola,2020-07,1353,1692,2031,directo
villa_mola,2021-07,1405,1757,2109,directo
villa_mola,2022-07,1440,1800,2160,directo
villa_mola,2023-07,1517,1897,2277,directo
villa_mola,2024-07,1543,1930,2316,directo
villa_mola,2025-07,1560,1951,2342,directo
san_marcos,2018-07,322,403,484,directo
san_marcos,2019-07,446,558,670,directo
san_marcos,2020-07,460,576,692,directo
san_marcos,2021-07,515,644,774,directo
san_marcos,2022-07,529,662,795,directo
san_marcos,2023-07,573,716,860,directo
san_marcos,2024-07,622,778,934,directo
san_marcos,2025-07,648,810,972,directo
las_dolores,2018-07,852,1066,1279,directo
las_dolores,2019-07,959,1199,1439,directo
las_dolores,2020-07,973,1217,1461,directo
las_dolores,2021-07,1048,1310,1573,directo
las_dolores,2022-07,1080,1350,1620,directo
las_dolores,2023-07,1114,1393,1672,directo
las_dolores,2024-07,1157,1447,1737,directo
las_dolores,2025-07,1175,1469,1763,directo
el_palomar,2018-07,5123,6404,7686,directo
el_palomar,2019-07,5725,7157,8589,directo
el_palomar,2020-07,5814,7268,8723,directo
el_palomar,2021-07,6071,7589,9107,directo
el_palomar,2022-07,6148,7686,9224,directo
el_palomar,2023-07,6269,7837,9405,directo
el_palomar,2024-07,6436,8046,9656,directo
el_palomar,2025-07,6488,8111,9733,directo
alta_gracia,2018-07,725,907,1089,directo
alta_gracia,2019-07,1005,1256,1508,directo
alta_gracia,2020-07,1071,1339,1608,directo
alta_gracia,2021-07,1180,1476,1772,directo
alta_gracia,2022-07,1215,1519,1824,directo
alta_gracia,2023-07,1333,1667,2001,directo
alta_gracia,2024-07,1419,1775,2130,directo
alta_gracia,2025-07,1471,1840,2208,directo
santa_rita,2018-07,1704,2131,2558,directo
santa_rita,2019-07,2255,2819,3383,directo
santa_rita,2020-07,2341,2927,3513,directo
santa_rita,2021-07,2528,3161,3793,directo
santa_rita,2022-07,2566,3208,3850,directo
santa_rita,2023-07,2678,3348,4018,directo
santa_rita,2024-07,2799,3499,4200,directo
santa_rita,2025-07,2822,3528,4234,directo
san_martin,2018-07,1938,2423,2908,directo
san_martin,2019-07,2505,3132,3759,directo
san_martin,2020-07,2704,3380,4057,directo
san_martin,2021-07,3110,3888,4666,directo
san_martin,2022-07,3193,3992,4791,directo
san_martin,2023-07,3340,4176,5012,directo
san_martin,2024-07,3559,4450,5340,directo
san_martin,2025-07,3620,4525,5431,directo
villa_sarita,2018-07,4504,5630,6757,directo
villa_sarita,2019-07,4985,6232,7478,directo
villa_sarita,2020-07,5071,6340,7608,directo
villa_sarita,2021-07,5273,6592,7910,directo
villa_sarita,2022-07,5359,6700,8040,directo
villa_sarita,2023-07,5460,6826,8191,directo
villa_sarita,2024-07,5544,6930,8316,directo
villa_sarita,2025-07,5581,6977,8373,directo
el_brete,2018-07,1751,2189,2627,directo
el_brete,2019-07,2217,2772,3327,directo
el_brete,2020-07,2278,2848,3418,directo
el_brete,2021-07,2488,3110,3733,directo
el_brete,2022-07,2540,3175,3811,directo
el_brete,2023-07,2640,3301,3962,directo
el_brete,2024-07,2779,3474,4169,directo
el_brete,2025-07,2865,3582,4299,directo
luis_piedrabuena,2018-07,852,1066,1279,directo
luis_piedrabuena,2019-07,1172,1465,1759,directo
luis_piedrabuena,2020-07,1229,1537,1845,directo
luis_piedrabuena,2021-07,1347,1685,2022,directo
luis_piedrabuena,2022-07,1391,1739,2087,directo
luis_piedrabuena,2023-07,1500,1876,2251,directo
luis_piedrabuena,2024-07,1595,1994,2394,directo
luis_piedrabuena,2025-07,1644,2056,2467,directo
san_lucas,2018-07,492,616,739,directo
san_lucas,2019-07,685,857,1029,directo
