poligono_id,metrica,anio_proyeccion,valor_pred,ci_inferior,ci_superior,modelo,r2,confianza,n_obs
23_de_septiembre,poblacion,2027,2534.405,2232.553,2836.256,lineal,0.8944,alta,8
23_de_septiembre,poblacion,2030,2834.012,2459.189,3208.835,lineal,0.8944,alta,8
23_de_septiembre,poblacion,2035,3333.357,2813.919,3852.795,lineal,0.8944,alta,8
a4_nueva_esperanza,poblacion,2027,4898.702,4190.226,5607.179,lineal,0.7974,media,8
a4_nueva_esperanza,poblacion,2030,5378.131,4498.382,6257.879,lineal,0.7974,media,8
a4_nueva_esperanza,poblacion,2035,6177.179,4958.004,7396.353,lineal,0.7974,media,8
a_3_2_sector_b,poblacion,2027,1572.845,1293.49,1852.2,lineal,0.8719,alta,8
a_3_2_sector_b,poblacion,2030,1821.488,1474.6,2168.376,lineal,0.8719,alta,8
a_3_2_sector_b,poblacion,2035,2235.893,1755.167,2716.618,lineal,0.8719,alta,8
aguas_corrientes,poblacion,2027,26377.631,23883.003,28872.259,lineal,0.8747,alta,8
aguas_corrientes,poblacion,2030,28626.202,25528.506,31723.899,lineal,0.8747,alta,8
aguas_corrientes,poblacion,2035,32373.821,28080.966,36666.677,lineal,0.8747,alta,8
alta_gracia,poblacion,2027,2137.155,1874.519,2399.79,lineal,0.9425,alta,8
alta_gracia,poblacion,2030,2499.762,2173.635,2825.889,lineal,0.9425,alta,8
alta_gracia,poblacion,2035,3104.107,2652.153,3556.061,lineal,0.9425,alta,8
bajada_vieja,poblacion,2027,4012.012,3635.97,4388.054,lineal,0.8719,alta,8
bajada_vieja,poblacion,2030,4346.655,3879.706,4813.604,lineal,0.8719,alta,8
bajada_vieja,poblacion,2035,4904.393,4257.284,5551.501,lineal,0.8719,alta,8
centro,poblacion,2027,29318.583,27312.613,31324.554,lineal,0.834,media,8
centro,poblacion,2030,30852.583,28361.676,33343.491,lineal,0.834,media,8
centro,poblacion,2035,33409.25,29957.296,36861.204,lineal,0.834,media,8
chacra_32,poblacion,2027,30500.369,26989.848,34010.89,lineal,0.9053,alta,8
chacra_32,poblacion,2030,34203.798,29844.619,38562.976,lineal,0.9053,alta,8
chacra_32,poblacion,2035,40376.179,34335.134,46417.223,lineal,0.9053,alta,8
cima_del_sol,poblacion,2027,1876.655,1766.67,1986.639,lineal,0.9789,alta,8
cima_del_sol,poblacion,2030,2132.012,1995.439,2268.585,lineal,0.9789,alta,8
cima_del_sol,poblacion,2035,2557.607,2368.341,2746.873,lineal,0.9789,alta,8
colonia_laosiana,poblacion,2027,5.333,1.188,9.479,lineal,0.3333,baja,8
colonia_laosiana,poblacion,2030,6.333,1.186,11.481,lineal,0.3333,baja,8
colonia_laosiana,poblacion,2035,8.0,0.866,15.134,lineal,0.3333,baja,8
complejo_gervasio_artigas,poblacion,2027,6703.75,5882.056,7525.444,lineal,0.8557,alta,8
complejo_gervasio_artigas,poblacion,2030,7386.25,6365.915,8406.585,lineal,0.8557,alta,8
complejo_gervasio_artigas,poblacion,2035,8523.75,7109.747,9937.753,lineal,0.8557,alta,8
complejo_habitacional_virgen_de_fatima,poblacion,2027,4610.524,3967.731,5253.317,lineal,0.8537,alta,8
complejo_habitacional_virgen_de_fatima,poblacion,2030,5140.31,4342.123,5938.496,lineal,0.8537,alta,8
complejo_habitacional_virgen_de_fatima,poblacion,2035,6023.286,4917.142,7129.43,lineal,0.8537,alta,8
don_santiago,poblacion,2027,1344.048,1014.923,1673.172,lineal,0.8025,media,8
don_santiago,poblacion,2030,1570.369,1161.68,1979.058,lineal,0.8025,media,8
don_santiago,poblacion,2035,1947.571,1381.201,2513.942,lineal,0.8025,media,8
el_brete,poblacion,2027,4017.893,3546.88,4488.906,lineal,0.9142,alta,8
el_brete,poblacion,2030,4542.357,3957.478,5127.236,lineal,0.9142,alta,8
el_brete,poblacion,2035,5416.464,4605.927,6227.002,lineal,0.9142,alta,8
el_laurel,poblacion,2027,575.512,478.839,672.185,lineal,0.9104,alta,8
el_laurel,poblacion,2030,680.655,560.612,800.698,lineal,0.9104,alta,8
el_laurel,poblacion,2035,855.893,689.534,1022.251,lineal,0.9104,alta,8
el_palomar,poblacion,2027,8703.786,8056.159,9351.413,lineal,0.8964,alta,8
el_palomar,poblacion,2030,9353.714,8549.525,10157.903,lineal,0.8964,alta,8
el_palomar,poblacion,2035,10436.929,9322.466,11551.391,lineal,0.8964,alta,8
fatima,poblacion,2027,1758.667,1618.096,1899.238,lineal,0.9744,alta,8
fatima,poblacion,2030,2054.667,1880.113,2229.22,lineal,0.9744,alta,8
fatima,poblacion,2035,2548.0,2306.1,2789.9,lineal,0.9744,alta,8
federal,poblacion,2027,102.976,91.098,114.854,lineal,0.9141,alta,8
federal,poblacion,2030,116.19,101.441,130.94,lineal,0.9141,alta,8
federal,poblacion,2035,138.214,117.774,158.654,lineal,0.9141,alta,8
itaembe_guazu,poblacion,2027,36634.202,32727.243,40541.162,lineal,0.8699,alta,8
itaembe_guazu,poblacion,2030,40079.881,35228.426,44931.336,lineal,0.8699,alta,8
itaembe_guazu,poblacion,2035,45822.679,39099.427,52545.93,lineal,0.8699,alta,8
itaembe_mini,poblacion,2027,5468.548,4889.986,6047.11,lineal,0.9218,alta,8
itaembe_mini,poblacion,2030,6146.369,5427.941,6864.797,lineal,0.9218,alta,8
itaembe_mini,poblacion,2035,7276.071,6280.459,8271.684,lineal,0.9218,alta,8
itaembe_pora,poblacion,2027,17984.452,15877.87,20091.035,lineal,0.9075,alta,8
itaembe_pora,poblacion,2030,20235.381,17619.539,22851.223,lineal,0.9075,alta,8
itaembe_pora,poblacion,2035,23986.929,20361.837,27612.02,lineal,0.9075,alta,8
las_dolores,poblacion,2027,1609.464,1509.8,1709.129,lineal,0.9594,alta,8
las_dolores,poblacion,2030,1774.786,1651.028,1898.544,lineal,0.9594,alta,8
las_dolores,poblacion,2035,2050.321,1878.815,2221.828,lineal,0.9594,alta,8
lomas_de_garupa,poblacion,2027,2079.917,1811.801,2348.032,lineal,0.9273,alta,8
lomas_de_garupa,poblacion,2030,2406.667,2073.735,2739.598,lineal,0.9273,alta,8
lomas_de_garupa,poblacion,2035,2951.25,2489.867,3412.633,lineal,0.9273,alta,8
luis_piedrabuena,poblacion,2027,2374.31,2068.234,2680.385,lineal,0.9299,alta,8
luis_piedrabuena,poblacion,2030,2754.524,2374.456,3134.592,lineal,0.9299,alta,8
luis_piedrabuena,poblacion,2035,3388.214,2861.508,3914.921,lineal,0.9299,alta,8
miguel_lanus,poblacion,2027,8763.036,7428.159,10097.913,lineal,0.9175,alta,8
miguel_lanus,poblacion,2030,10281.464,8623.885,11939.044,lineal,0.9175,alta,8
miguel_lanus,poblacion,2035,12812.179,10515.069,15109.288,lineal,0.9175,alta,8
monsenor_kemerer,poblacion,2027,5454.738,4986.381,5923.096,lineal,0.9505,alta,8
monsenor_kemerer,poblacion,2030,6155.095,5573.514,6736.677,lineal,0.9505,alta,8
monsenor_kemerer,poblacion,2035,7322.357,6516.389,8128.325,lineal,0.9505,alta,8
nemesio_parma,poblacion,2027,16.536,13.038,20.033,lineal,0.892,alta,8
nemesio_parma,poblacion,2030,19.964,15.621,24.307,lineal,0.892,alta,8
nemesio_parma,poblacion,2035,25.679,19.66,31.697,lineal,0.892,alta,8
norte,poblacion,2027,626.488,563.11,689.866,lineal,0.9738,alta,8
norte,poblacion,2030,758.345,679.646,837.044,lineal,0.9738,alta,8
norte,poblacion,2035,978.107,869.044,1087.17,lineal,0.9738,alta,8
nu_pora,poblacion,2027,3989.214,3166.509,4811.92,lineal,0.8522,alta,8
nu_pora,poblacion,2030,4663.036,3641.443,5684.628,lineal,0.8522,alta,8
nu_pora,poblacion,2035,5786.071,4370.327,7201.816,lineal,0.8522,alta,8
rocamora,poblacion,2027,5678.202,5194.896,6161.508,lineal,0.9354,alta,8
rocamora,poblacion,2030,6305.381,5705.237,6905.525,lineal,0.9354,alta,8
rocamora,poblacion,2035,7350.679,6518.986,8182.371,lineal,0.9354,alta,8
san_isidro,poblacion,2027,4418.702,3887.834,4949.57,lineal,0.8985,alta,8
san_isidro,poblacion,2030,4957.381,4298.177,5616.585,lineal,0.8985,alta,8
san_isidro,poblacion,2035,5855.179,4941.64,6768.718,lineal,0.8985,alta,8
san_jorge,poblacion,2027,1881.619,1730.486,2032.752,lineal,0.733,media,8
san_jorge,poblacion,2030,1967.048,1779.379,2154.716,lineal,0.733,media,8
san_jorge,poblacion,2035,2109.429,1849.354,2369.504,lineal,0.733,media,8
san_lucas,poblacion,2027,1733.25,1565.944,1900.556,lineal,0.9747,alta,8
san_lucas,poblacion,2030,2087.25,1879.498,2295.002,lineal,0.9747,alta,8
san_lucas,poblacion,2035,2677.25,2389.343,2965.157,lineal,0.9747,alta,8
san_marcos,poblacion,2027,930.619,820.715,1040.523,lineal,0.9458,alta,8
san_marcos,poblacion,2030,1087.298,950.825,1223.77,lineal,0.9458,alta,8
san_marcos,poblacion,2035,1348.429,1159.302,1537.555,lineal,0.9458,alta,8
san_martin,poblacion,2027,5303.821,4613.522,5994.121,lineal,0.9287,alta,8
san_martin,poblacion,2030,6153.679,5296.501,7010.856,lineal,0.9287,alta,8
san_martin,poblacion,2035,7570.107,6382.212,8758.002,lineal,0.9287,alta,8
santa_helena,poblacion,2027,6519.179,5966.868,7071.489,lineal,0.9181,alta,8
santa_helena,poblacion,2030,7149.821,6463.992,7835.651,lineal,0.9181,alta,8
santa_helena,poblacion,2035,8200.893,7250.455,9151.33,lineal,0.9181,alta,8
santa_rita,poblacion,2027,4026.31,3399.265,4653.354,lineal,0.8541,alta,8
santa_rita,poblacion,2030,4543.774,3765.143,5322.404,lineal,0.8541,alta,8
santa_rita,poblacion,2035,5406.214,4327.171,6485.257,lineal,0.8541,alta,8
villa_bonita,poblacion,2027,8465.75,7276.251,9655.249,lineal,0.8953,alta,8
villa_bonita,poblacion,2030,9652.25,8175.193,11129.307,lineal,0.8953,alta,8
villa_bonita,poblacion,2035,11629.75,9582.812,13676.688,lineal,0.8953,alta,8
villa_cabello,poblacion,2027,17295.464,15240.235,19350.694,lineal,0.8906,alta,8
