poligono_id,tipo_servicio,distancia_minima_m,nombre_servicio_cercano,osm_id_cercano,n_en_500m,n_en_1000m,n_en_2000m,cobertura_adecuada
a_3_2_sector_b,caps_clinic,462.6,CAPS 26 Loma Poí,node/3190905673,1,6,11,True
a_3_2_sector_b,hospital,885.1,,way/298111044,0,2,2,True
a_3_2_sector_b,escuela,458.1,Escuela de Comercio 8,node/4773589715,3,14,35,True
a_3_2_sector_b,jardin,263.7,Jardín Maternal Madre Teresa 1,node/9206434176,2,5,7,True
a_3_2_sector_b,universidad,439.2,Instituto de Especializacion Proesional en Ciencias Policiales,node/6483750493,2,4,6,
a_3_2_sector_b,farmacia,526.5,El Angel,node/2689039059,0,5,8,True
a_3_2_sector_b,parada_colectivo,68.8,39 y 174,node/4514629214,32,113,183,True
a_3_2_sector_b,policia,494.9,Comisaría Seccional Décima - UR X,node/4405130282,1,3,9,
a_3_2_sector_b,bomberos,1141.4,Destacamento de Bomberos Costa Sur,node/9892184440,0,0,2,
a_3_2_sector_b,supermercado,560.7,Estrella de Oro,node/2689039055,0,2,4,
a_3_2_sector_b,mercado,801.7,Feria Franca Miguel Lanús,node/4795791834,0,1,1,
a_3_2_sector_b,banco_atm,766.8,Cajero Express,node/6470831686,0,1,4,
a_3_2_sector_b,plaza_parque,137.4,,way/547668872,18,61,144,
colonia_laosiana,caps_clinic,615.9,CAPS Barrio Itaembé Guazú,node/7017114261,0,1,4,True
colonia_laosiana,hospital,956.7,Hospital de Itaembé Guazú,node/13739923896,0,2,2,True
colonia_laosiana,escuela,897.6,Instituto Superior Politécnico Misiones 1,node/5775811122,0,3,13,False
colonia_laosiana,jardin,953.5,Núcleo Educativo de Nivel Inicial 58 Extensión 5,node/11240954716,0,1,7,True
colonia_laosiana,universidad,2177.0,Instituto Superior Andrés Guacurarí,node/12812203369,0,0,0,
colonia_laosiana,farmacia,638.9,RED Itaembe Guazu,node/12738758605,0,1,6,True
