poligono_id,score,componentes_json,version_metodologia
a_3_2_sector_b,43.56,"{""crecimiento"": {""crudo"": 0.3467, ""norm"": 0.3467, ""peso"": 0.25}, ""densidad"": {""crudo"": 2829.4248, ""norm"": 0.1433, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.6844, ""norm"": 0.6827, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
colonia_laosiana,37.5,"{""crecimiento"": {""crudo"": 0.0, ""norm"": 0.0, ""peso"": 0.25}, ""densidad"": {""crudo"": 4.1424, ""norm"": 0.0001, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 1.0, ""norm"": 1.0, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
san_jorge,41.74,"{""crecimiento"": {""crudo"": 0.0979, ""norm"": 0.0979, ""peso"": 0.25}, ""densidad"": {""crudo"": 5853.8158, ""norm"": 0.2966, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.824, ""norm"": 0.823, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
23_de_septiembre,30.95,"{""crecimiento"": {""crudo"": 0.1745, ""norm"": 0.1745, ""peso"": 0.25}, ""densidad"": {""crudo"": 2574.2374, ""norm"": 0.1304, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.1469, ""norm"": 0.1421, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
villa_mola,30.44,"{""crecimiento"": {""crudo"": 0.169, ""norm"": 0.169, ""peso"": 0.25}, ""densidad"": {""crudo"": 1169.1636, ""norm"": 0.0592, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.1933, ""norm"": 0.1888, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
san_marcos,46.34,"{""crecimiento"": {""crudo"": 0.4619, ""norm"": 0.4619, ""peso"": 0.25}, ""densidad"": {""crudo"": 820.316, ""norm"": 0.0415, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.7792, ""norm"": 0.778, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
las_dolores,27.84,"{""crecimiento"": {""crudo"": 0.0, ""norm"": 0.0, ""peso"": 0.25}, ""densidad"": {""crudo"": 1.8242, ""norm"": 0.0, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.3594, ""norm"": 0.3558, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
el_palomar,29.49,"{""crecimiento"": {""crudo"": 0.1248, ""norm"": 0.1248, ""peso"": 0.25}, ""densidad"": {""crudo"": 4656.022, ""norm"": 0.2359, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.0278, ""norm"": 0.0224, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
alta_gracia,34.29,"{""crecimiento"": {""crudo"": 0.379, ""norm"": 0.379, ""peso"": 0.25}, ""densidad"": {""crudo"": 704.4967, ""norm"": 0.0356, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.1235, ""norm"": 0.1187, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
santa_rita,38.17,"{""crecimiento"": {""crudo"": 0.2479, ""norm"": 0.2479, ""peso"": 0.25}, ""densidad"": {""crudo"": 1244.9175, ""norm"": 0.063, ""peso"": 0.15}, ""distancia_caps"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.2}, ""distancia_escuela"": {""crudo_m"": null, ""norm"": 0.5, ""peso"": 0.15}, ""pavimento"": {""crudo_no_pav_frac"": 0.5709, ""norm"": 0.5685, ""peso"": 0.15}, ""inundacion"": {""crudo"": 0.0, ""norm"": 0.5, ""peso"": 0.1}}",v0-borrador
