poligono_id,anio,no2_mol_m2,no2_relativo_bbox,n_imagenes_no2,so2_mol_m2,n_imagenes_so2,co_mol_m2,n_imagenes_co,hcho_mol_m2,n_imagenes_hcho,ch4_ppb,n_imagenes_ch4,ch4_calidad,o3_du,n_imagenes_o3,o3_calidad
a_3_2_sector_b,2019,1.321978e-05,1.038,5163,1.325022e-04,5157,2.496896e-02,5164,1.846385e-04,5163,1795.5375,5134,baja,270.58,5112,baja
colonia_laosiana,2019,1.278188e-05,1.0036,5163,2.382300e-05,5157,2.607094e-02,5164,1.625441e-04,5163,1827.8121,5134,baja,270.31,5112,baja
san_jorge,2019,1.355034e-05,1.0639,5163,1.054945e-04,5157,2.488279e-02,5164,1.827737e-04,5163,1801.1372,5134,baja,270.59,5112,baja
23_de_septiembre,2019,1.543773e-05,1.2121,5163,8.285999e-05,5157,2.536209e-02,5164,1.767597e-04,5163,,5134,baja,270.65,5112,baja
villa_mola,2019,1.581223e-05,1.2415,5163,8.501870e-05,5157,2.588856e-02,5164,1.708775e-04,5163,,5134,baja,270.54,5112,baja
san_marcos,2019,1.349242e-05,1.0594,5163,9.449782e-05,5157,2.462245e-02,5164,1.823886e-04,5163,1785.1802,5134,baja,270.6,5112,baja
las_dolores,2019,1.290928e-05,1.0136,5163,8.027814e-05,5157,2.491252e-02,5164,1.703562e-04,5163,1787.6732,5134,baja,270.58,5112,baja
el_palomar,2019,1.515547e-05,1.19,5163,7.661373e-05,5157,2.564921e-02,5164,1.688495e-04,5163,,5134,baja,270.69,5112,baja
alta_gracia,2019,1.477481e-05,1.1601,5163,1.048861e-04,5157,2.537452e-02,5164,1.802725e-04,5163,,5134,baja,270.64,5112,baja
santa_rita,2019,1.525580e-05,1.1978,5163,8.689578e-05,5157,2.532032e-02,5164,1.706606e-04,5163,,5134,baja,270.64,5112,baja
san_martin,2019,1.576528e-05,1.2378,5163,1.045904e-04,5157,2.538038e-02,5164,1.771897e-04,5163,,5134,baja,270.51,5112,baja
villa_sarita,2019,1.637224e-05,1.2855,5163,1.083352e-04,5157,2.605493e-02,5164,1.641746e-04,5163,,5134,baja,270.54,5112,baja
el_brete,2019,1.579256e-05,1.24,5163,1.085606e-04,5157,2.576765e-02,5164,1.670375e-04,5163,,5134,baja,270.53,5112,baja
luis_piedrabuena,2019,1.414224e-05,1.1104,5163,7.412408e-05,5157,2.514499e-02,5164,1.777350e-04,5163,,5134,baja,270.62,5112,baja
san_lucas,2019,1.324379e-05,1.0399,5163,8.616829e-05,5157,2.469017e-02,5164,1.776856e-04,5163,1785.1803,5134,baja,270.62,5112,baja
monsenor_kemerer,2019,1.589895e-05,1.2483,5163,1.246391e-04,5157,2.557134e-02,5164,1.625277e-04,5163,,5134,baja,270.6,5112,baja
rocamora,2019,1.561401e-05,1.226,5163,9.348565e-05,5157,2.532895e-02,5164,1.775233e-04,5163,,5134,baja,270.58,5112,baja
yacyreta,2019,1.607616e-05,1.2623,5163,1.052370e-04,5157,2.546171e-02,5164,1.727882e-04,5163,,5134,baja,270.53,5112,baja
villa_urquiza,2019,1.466210e-05,1.1512,5163,8.378710e-05,5157,2.572323e-02,5164,1.718673e-04,5163,,5134,baja,270.66,5112,baja
complejo_habitacional_virgen_de_fatima,2019,1.283715e-05,1.0079,5163,1.138029e-04,5157,2.499676e-02,5164,1.791811e-04,5163,1796.7646,5134,baja,270.46,5112,baja
a4_nueva_esperanza,2019,1.279064e-05,1.0043,5163,1.200522e-04,5157,2.494890e-02,5164,1.836018e-04,5163,1797.0589,5134,baja,270.52,5112,baja
el_laurel,2019,1.581256e-05,1.2416,5163,1.164068e-04,5157,2.563491e-02,5164,1.594082e-04,5163,,5134,baja,270.55,5112,baja
cima_del_sol,2019,1.256716e-05,0.9867,5163,1.114772e-04,5157,2.499951e-02,5164,1.775771e-04,5163,1796.1015,5134,baja,270.52,5112,baja
san_isidro,2019,1.174150e-05,0.9219,5163,8.179401e-05,5157,2.517884e-02,5164,1.618650e-04,5163,1793.6782,5134,baja,270.35,5112,baja
lomas_de_garupa,2019,1.250301e-05,0.9817,5163,8.104385e-05,5157,2.479886e-02,5164,1.624800e-04,5163,1795.6248,5134,baja,270.4,5112,baja
santa_helena,2019,1.149069e-05,0.9022,5163,1.056867e-04,5157,2.525284e-02,5164,1.552465e-04,5163,1793.9793,5134,baja,270.49,5112,baja
fatima,2019,1.282105e-05,1.0067,5163,1.004210e-04,5157,2.498736e-02,5164,1.773970e-04,5163,1797.0606,5134,baja,270.45,5112,baja
don_santiago,2019,1.196214e-05,0.9392,5163,8.275853e-05,5157,2.512738e-02,5164,1.603949e-04,5163,1793.7109,5134,baja,270.45,5112,baja
nu_pora,2019,1.272622e-05,0.9992,5163,7.847659e-05,5157,2.492468e-02,5164,1.699781e-04,5163,1796.8633,5134,baja,270.42,5112,baja
miguel_lanus,2019,1.304796e-05,1.0245,5163,1.246415e-04,5157,2.498356e-02,5164,1.839853e-04,5163,1796.9403,5134,baja,270.52,5112,baja
norte,2019,1.197483e-05,0.9402,5163,9.743941e-05,5157,2.480694e-02,5164,1.660431e-04,5163,1795.5389,5134,baja,270.39,5112,baja
centro,2019,1.592423e-05,1.2503,5163,9.865313e-05,5157,2.576687e-02,5164,1.705908e-04,5163,,5134,baja,270.56,5112,baja
complejo_gervasio_artigas,2019,1.226506e-05,0.963,5163,7.524365e-05,5157,2.510335e-02,5164,1.534799e-04,5163,1792.3317,5134,baja,270.33,5112,baja
federal,2019,1.244111e-05,0.9768,5163,7.750770e-05,5157,2.503827e-02,5164,1.374608e-04,5163,1791.0864,5134,baja,270.31,5112,baja
nemesio_parma,2019,1.327965e-05,1.0427,5163,1.084287e-04,5157,2.573145e-02,5164,1.523020e-04,5163,1831.8548,5134,baja,270.77,5112,baja
villa_cabello,2019,1.540775e-05,1.2098,5163,1.130682e-04,5157,2.571067e-02,5164,1.682042e-04,5163,,5134,baja,270.66,5112,baja
itaembe_pora,2019,1.205881e-05,0.9468,5163,2.102911e-05,5157,2.557423e-02,5164,1.625941e-04,5163,1823.3488,5134,baja,270.32,5112,baja
itaembe_mini,2019,1.342738e-05,1.0543,5163,2.959743e-05,5157,2.572373e-02,5164,1.669222e-04,5163,1824.1401,5134,baja,270.47,5112,baja
aguas_corrientes,2019,1.570485e-05,1.2331,5163,9.645742e-05,5157,2.532980e-02,5164,1.763028e-04,5163,,5134,baja,270.56,5112,baja
chacra_32,2019,1.437396e-05,1.1286,5163,9.947128e-05,5157,2.535288e-02,5164,1.796947e-04,5163,1808.2979,5134,baja,270.63,5112,baja
bajada_vieja,2019,1.635391e-05,1.2841,5163,1.042121e-04,5157,2.602762e-02,5164,1.644897e-04,5163,,5134,baja,270.51,5112,baja
villa_bonita,2019,1.234120e-05,0.969,5163,8.999256e-05,5157,2.509244e-02,5164,1.659551e-04,5163,1796.5186,5134,baja,270.39,5112,baja
itaembe_guazu,2019,1.338166e-05,1.0507,5163,3.886063e-05,5157,2.610548e-02,5164,1.572228e-04,5163,1828.7173,5134,baja,270.49,5112,baja
posadas_completa,2019,1.386489e-05,1.0886,5163,8.610599e-05,5157,2.550460e-02,5164,1.686898e-04,5163,1810.8838,5134,baja,270.54,5112,baja
a_3_2_sector_b,2020,1.218949e-05,1.0569,5178,1.143500e-04,5176,2.778918e-02,5183,1.676126e-04,5181,,4867,baja,271.33,5185,baja
colonia_laosiana,2020,1.240258e-05,1.0754,5178,1.060703e-04,5176,2.876200e-02,5183,1.344597e-04,5181,1804.501,4867,baja,270.98,5185,baja
san_jorge,2020,1.216349e-05,1.0547,5178,1.280139e-04,5176,2.794663e-02,5183,1.580496e-04,5181,1819.0165,4867,baja,271.36,5185,baja
23_de_septiembre,2020,1.307115e-05,1.1334,5178,9.296222e-05,5176,2.830280e-02,5183,1.790427e-04,5181,,4867,baja,271.37,5185,baja
villa_mola,2020,1.245648e-05,1.0801,5178,8.863460e-05,5176,2.865305e-02,5183,1.742922e-04,5181,,4867,baja,271.42,5185,baja
san_marcos,2020,1.172954e-05,1.0171,5178,1.305286e-04,5176,2.828205e-02,5183,1.455725e-04,5181,1807.3289,4867,baja,271.31,5185,baja
las_dolores,2020,1.176990e-05,1.0206,5178,1.023712e-04,5176,2.819351e-02,5183,1.409780e-04,5181,1805.4907,4867,baja,271.26,5185,baja
el_palomar,2020,1.257716e-05,1.0906,5178,1.109785e-04,5176,2.841118e-02,5183,1.800158e-04,5181,,4867,baja,271.41,5185,baja
alta_gracia,2020,1.275476e-05,1.106,5178,1.161607e-04,5176,2.818339e-02,5183,1.569299e-04,5181,1819.8916,4867,baja,271.36,5185,baja
santa_rita,2020,1.333998e-05,1.1567,5178,8.335088e-05,5176,2.896740e-02,5183,1.627226e-04,5181,1792.4114,4867,baja,271.33,5185,baja
san_martin,2020,1.348646e-05,1.1694,5178,9.372465e-05,5176,2.880302e-02,5183,1.816189e-04,5181,1792.2129,4867,baja,271.34,5185,baja
villa_sarita,2020,1.345485e-05,1.1667,5178,8.588480e-05,5176,2.906367e-02,5183,1.800955e-04,5181,,4867,baja,271.4,5185,baja
el_brete,2020,1.386594e-05,1.2023,5178,8.937981e-05,5176,2.871491e-02,5183,1.982480e-04,5181,,4867,baja,271.28,5185,baja
luis_piedrabuena,2020,1.232417e-05,1.0686,5178,1.170090e-04,5176,2.843986e-02,5183,1.435678e-04,5181,1802.5466,4867,baja,271.39,5185,baja
san_lucas,2020,1.176917e-05,1.0205,5178,1.198642e-04,5176,2.825191e-02,5183,1.441789e-04,5181,1805.9427,4867,baja,271.32,5185,baja
monsenor_kemerer,2020,1.360973e-05,1.1801,5178,6.411105e-05,5176,2.921733e-02,5183,1.908134e-04,5181,1792.2129,4867,baja,271.24,5185,baja
rocamora,2020,1.327862e-05,1.1514,5178,9.291035e-05,5176,2.857510e-02,5183,1.815351e-04,5181,,4867,baja,271.35,5185,baja
yacyreta,2020,1.355360e-05,1.1752,5178,8.498487e-05,5176,2.909370e-02,5183,1.793497e-04,5181,1792.2129,4867,baja,271.3,5185,baja
villa_urquiza,2020,1.249633e-05,1.0836,5178,1.161741e-04,5176,2.813630e-02,5183,1.774206e-04,5181,,4867,baja,271.43,5185,baja
complejo_habitacional_virgen_de_fatima,2020,1.174712e-05,1.0186,5178,1.225117e-04,5176,2.778687e-02,5183,1.604538e-04,5181,1759.7812,4867,baja,271.29,5185,baja
a4_nueva_esperanza,2020,1.104094e-05,0.9574,5178,9.370807e-05,5176,2.792653e-02,5183,1.484738e-04,5181,1808.9488,4867,baja,271.22,5185,baja
el_laurel,2020,1.389838e-05,1.2051,5178,9.146439e-05,5176,2.870927e-02,5183,1.921313e-04,5181,,4867,baja,271.29,5185,baja
cima_del_sol,2020,1.101847e-05,0.9554,5178,8.941193e-05,5176,2.806796e-02,5183,1.454708e-04,5181,1805.0819,4867,baja,271.2,5185,baja
san_isidro,2020,1.104250e-05,0.9575,5178,9.294875e-05,5176,2.757270e-02,5183,1.246358e-04,5181,1810.4801,4867,baja,271.03,5185,baja
lomas_de_garupa,2020,1.099159e-05,0.9531,5178,8.747604e-05,5176,2.757043e-02,5183,1.618484e-04,5181,,4867,baja,271.52,5185,baja
santa_helena,2020,1.025998e-05,0.8896,5178,1.022628e-04,5176,2.810822e-02,5183,1.395037e-04,5181,1803.9806,4867,baja,271.31,5185,baja
fatima,2020,1.160418e-05,1.0062,5178,1.210738e-04,5176,2.776361e-02,5183,1.590282e-04,5181,,4867,baja,271.33,5185,baja
don_santiago,2020,1.014627e-05,0.8798,5178,8.294715e-05,5176,2.782433e-02,5183,1.527897e-04,5181,1809.7831,4867,baja,271.54,5185,baja
nu_pora,2020,1.125709e-05,0.9761,5178,9.989532e-05,5176,2.768844e-02,5183,1.615561e-04,5181,,4867,baja,271.47,5185,baja
miguel_lanus,2020,1.201150e-05,1.0415,5178,1.143531e-04,5176,2.775310e-02,5183,1.652680e-04,5181,1759.7812,4867,baja,271.3,5185,baja
norte,2020,1.026321e-05,0.8899,5178,6.612383e-05,5176,2.783780e-02,5183,1.550140e-04,5181,1797.9247,4867,baja,271.51,5185,baja
centro,2020,1.292437e-05,1.1207,5178,9.315942e-05,5176,2.890302e-02,5183,1.797409e-04,5181,,4867,baja,271.36,5185,baja
complejo_gervasio_artigas,2020,1.077831e-05,0.9346,5178,8.150917e-05,5176,2.797016e-02,5183,1.495355e-04,5181,1797.8868,4867,baja,271.54,5185,baja
federal,2020,1.119454e-05,0.9707,5178,9.642038e-05,5176,2.829067e-02,5183,1.467537e-04,5181,1801.2922,4867,baja,271.41,5185,baja
nemesio_parma,2020,1.279948e-05,1.1098,5178,1.006014e-04,5176,2.848728e-02,5183,1.600512e-04,5181,,4867,baja,271.26,5185,baja
villa_cabello,2020,1.353560e-05,1.1737,5178,8.183861e-05,5176,2.921950e-02,5183,1.831560e-04,5181,1792.2129,4867,baja,271.17,5185,baja
itaembe_pora,2020,1.242866e-05,1.0777,5178,9.959522e-05,5176,2.816000e-02,5183,1.223648e-04,5181,1811.9558,4867,baja,271.17,5185,baja
itaembe_mini,2020,1.255202e-05,1.0884,5178,1.162727e-04,5176,2.854839e-02,5183,1.298956e-04,5181,1801.0387,4867,baja,271.28,5185,baja
aguas_corrientes,2020,1.325069e-05,1.149,5178,9.015302e-05,5176,2.869760e-02,5183,1.855497e-04,5181,,4867,baja,271.34,5185,baja
chacra_32,2020,1.260001e-05,1.0925,5178,1.199423e-04,5176,2.795280e-02,5183,1.649556e-04,5181,1820.8828,4867,baja,271.39,5185,baja
bajada_vieja,2020,1.326558e-05,1.1503,5178,7.883305e-05,5176,2.891248e-02,5183,1.774972e-04,5181,,4867,baja,271.45,5185,baja
villa_bonita,2020,1.105761e-05,0.9588,5178,8.956415e-05,5176,2.748687e-02,5183,1.523907e-04,5181,1809.231,4867,baja,271.44,5185,baja
itaembe_guazu,2020,1.231982e-05,1.0682,5178,1.089443e-04,5176,2.889535e-02,5183,1.418339e-04,5181,1811.178,4867,baja,270.92,5185,baja
posadas_completa,2020,1.249158e-05,1.0831,5178,1.011354e-04,5176,2.840929e-02,5183,1.545637e-04,5181,1802.5227,4867,baja,271.21,5185,baja
a_3_2_sector_b,2021,1.398699e-05,1.0769,5168,1.633750e-04,5166,2.393731e-02,5171,1.363717e-04,5035,1823.7067,5044,baja,278.12,5170,baja
colonia_laosiana,2021,1.356887e-05,1.0447,5168,3.633276e-05,5166,2.371877e-02,5171,1.225744e-04,5035,1825.2909,5044,baja,278.03,5170,baja
san_jorge,2021,1.411921e-05,1.0871,5168,1.372689e-04,5166,2.420025e-02,5171,1.352450e-04,5035,1785.6274,5044,baja,278.23,5170,baja
23_de_septiembre,2021,1.593484e-05,1.2269,5168,1.180008e-04,5166,2.476108e-02,5171,1.557198e-04,5035,,5044,baja,278.05,5170,baja
villa_mola,2021,1.481374e-05,1.1406,5168,1.201250e-04,5166,2.477179e-02,5171,1.392330e-04,5035,,5044,baja,277.99,5170,baja
san_marcos,2021,1.436922e-05,1.1063,5168,1.303556e-04,5166,2.411269e-02,5171,1.257251e-04,5035,1819.8571,5044,baja,278.22,5170,baja
las_dolores,2021,1.358482e-05,1.0459,5168,1.098441e-04,5166,2.414916e-02,5171,1.209042e-04,5035,1828.8194,5044,baja,278.14,5170,baja
el_palomar,2021,1.539333e-05,1.1852,5168,1.155110e-04,5166,2.473672e-02,5171,1.548347e-04,5035,,5044,baja,278.07,5170,baja
alta_gracia,2021,1.547063e-05,1.1911,5168,8.158723e-05,5166,2.454411e-02,5171,1.376151e-04,5035,1835.652,5044,baja,278.22,5170,baja
santa_rita,2021,1.724748e-05,1.3279,5168,6.054173e-05,5166,2.495247e-02,5171,1.211007e-04,5035,1832.4789,5044,baja,277.95,5170,baja
san_martin,2021,1.721655e-05,1.3256,5168,1.023213e-04,5166,2.498923e-02,5171,1.435634e-04,5035,,5044,baja,278.07,5170,baja
villa_sarita,2021,1.653817e-05,1.2733,5168,9.494741e-05,5166,2.478928e-02,5171,1.405558e-04,5035,,5044,baja,278.15,5170,baja
el_brete,2021,1.783766e-05,1.3734,5168,1.204390e-04,5166,2.510234e-02,5171,1.329496e-04,5035,,5044,baja,278.17,5170,baja
luis_piedrabuena,2021,1.496440e-05,1.1522,5168,1.000233e-04,5166,2.434412e-02,5171,1.246192e-04,5035,1831.9036,5044,baja,278.17,5170,baja
san_lucas,2021,1.408273e-05,1.0843,5168,1.238074e-04,5166,2.419698e-02,5171,1.230482e-04,5035,1825.3332,5044,baja,278.18,5170,baja
monsenor_kemerer,2021,1.822776e-05,1.4034,5168,9.718348e-05,5166,2.525532e-02,5171,1.307717e-04,5035,,5044,baja,278.0,5170,baja
rocamora,2021,1.654085e-05,1.2735,5168,1.091581e-04,5166,2.487469e-02,5171,1.498172e-04,5035,,5044,baja,278.06,5170,baja
yacyreta,2021,1.773014e-05,1.3651,5168,8.882728e-05,5166,2.507818e-02,5171,1.356303e-04,5035,1831.2465,5044,baja,278.04,5170,baja
villa_urquiza,2021,1.492358e-05,1.149,5168,1.274903e-04,5166,2.460901e-02,5171,1.507517e-04,5035,,5044,baja,278.11,5170,baja
complejo_habitacional_virgen_de_fatima,2021,1.379075e-05,1.0618,5168,1.519808e-04,5166,2.400898e-02,5171,1.419787e-04,5035,1819.0644,5044,baja,278.11,5170,baja
a4_nueva_esperanza,2021,1.376797e-05,1.06,5168,1.418180e-04,5166,2.426698e-02,5171,1.327341e-04,5035,1821.4832,5044,baja,278.18,5170,baja
el_laurel,2021,1.816269e-05,1.3984,5168,1.097877e-04,5166,2.527411e-02,5171,1.372507e-04,5035,,5044,baja,278.15,5170,baja
cima_del_sol,2021,1.356010e-05,1.044,5168,1.301684e-04,5166,2.424441e-02,5171,1.286836e-04,5035,1824.2296,5044,baja,278.18,5170,baja
san_isidro,2021,1.225257e-05,0.9434,5168,9.017287e-05,5166,2.414219e-02,5171,1.214012e-04,5035,1822.6754,5044,baja,278.19,5170,baja
lomas_de_garupa,2021,1.335366e-05,1.0281,5168,1.571981e-04,5166,2.428446e-02,5171,1.354810e-04,5035,1818.2586,5044,baja,278.25,5170,baja
santa_helena,2021,1.222017e-05,0.9409,5168,6.992431e-05,5166,2.481856e-02,5171,1.185935e-04,5035,1818.4769,5044,baja,278.06,5170,baja
fatima,2021,1.380110e-05,1.0626,5168,1.488551e-04,5166,2.402854e-02,5171,1.422627e-04,5035,1820.0874,5044,baja,278.08,5170,baja
don_santiago,2021,1.229073e-05,0.9463,5168,1.149507e-04,5166,2.456517e-02,5171,1.208013e-04,5035,1824.8199,5044,baja,278.21,5170,baja
nu_pora,2021,1.362263e-05,1.0488,5168,1.524772e-04,5166,2.414288e-02,5171,1.396754e-04,5035,1816.0915,5044,baja,278.13,5170,baja
miguel_lanus,2021,1.381662e-05,1.0638,5168,1.577822e-04,5166,2.394449e-02,5171,1.387689e-04,5035,1813.0077,5044,baja,278.13,5170,baja
norte,2021,1.166365e-05,0.898,5168,1.186649e-04,5166,2.458524e-02,5171,1.244028e-04,5035,1827.5564,5044,baja,278.4,5170,baja
centro,2021,1.594386e-05,1.2276,5168,1.045124e-04,5166,2.476529e-02,5171,1.453456e-04,5035,,5044,baja,278.09,5170,baja
complejo_gervasio_artigas,2021,1.106651e-05,0.852,5168,1.221128e-04,5166,2.465521e-02,5171,1.270448e-04,5035,1823.811,5044,baja,278.11,5170,baja
federal,2021,1.101866e-05,0.8484,5168,1.132213e-04,5166,2.465029e-02,5171,1.239937e-04,5035,1820.3591,5044,baja,278.01,5170,baja
nemesio_parma,2021,1.217792e-05,0.9376,5168,9.788309e-05,5166,2.504053e-02,5171,1.255009e-04,5035,,5044,baja,278.03,5170,baja
villa_cabello,2021,1.781802e-05,1.3719,5168,9.214086e-05,5166,2.524923e-02,5171,1.248551e-04,5035,1831.2465,5044,baja,277.9,5170,baja
itaembe_pora,2021,1.313747e-05,1.0115,5168,7.532656e-05,5166,2.379458e-02,5171,1.215858e-04,5035,1825.6451,5044,baja,278.06,5170,baja
itaembe_mini,2021,1.469360e-05,1.1313,5168,6.341582e-05,5166,2.376669e-02,5171,1.177170e-04,5035,1827.98,5044,baja,278.04,5170,baja
aguas_corrientes,2021,1.659902e-05,1.278,5168,1.093385e-04,5166,2.487679e-02,5171,1.495359e-04,5035,,5044,baja,278.07,5170,baja
chacra_32,2021,1.471662e-05,1.1331,5168,1.148837e-04,5166,2.444421e-02,5171,1.438878e-04,5035,1833.8126,5044,baja,278.22,5170,baja
bajada_vieja,2021,1.589623e-05,1.2239,5168,9.706529e-05,5166,2.478536e-02,5171,1.364763e-04,5035,,5044,baja,278.11,5170,baja
villa_bonita,2021,1.277544e-05,0.9836,5168,1.243609e-04,5166,2.427662e-02,5171,1.356066e-04,5035,1815.8756,5044,baja,278.06,5170,baja
itaembe_guazu,2021,1.319500e-05,1.0159,5168,3.978077e-05,5166,2.425584e-02,5171,1.226361e-04,5035,1824.0517,5044,baja,277.99,5170,baja
posadas_completa,2021,1.456098e-05,1.1211,5168,9.198533e-05,5166,2.445579e-02,5171,1.280263e-04,5035,1822.8735,5044,baja,278.06,5170,baja
a_3_2_sector_b,2022,1.287924e-05,0.9999,5152,4.325959e-05,5160,2.445860e-02,5156,1.422054e-04,5134,1822.2706,4667,baja,275.9,5168,baja
colonia_laosiana,2022,1.287286e-05,0.9994,5152,3.964784e-05,5160,2.419943e-02,5156,1.140263e-04,5134,1835.76,4667,baja,275.75,5168,baja
san_jorge,2022,1.346622e-05,1.0455,5152,9.077079e-05,5160,2.400304e-02,5156,1.275079e-04,5134,1817.0349,4667,baja,275.92,5168,baja
23_de_septiembre,2022,1.601018e-05,1.243,5152,1.297684e-04,5160,2.433014e-02,5156,1.439816e-04,5134,,4667,baja,275.91,5168,baja
villa_mola,2022,1.541427e-05,1.1967,5152,1.164142e-04,5160,2.419398e-02,5156,1.465546e-04,5134,,4667,baja,275.83,5168,baja
san_marcos,2022,1.303183e-05,1.0117,5152,7.262436e-05,5160,2.359042e-02,5156,1.234120e-04,5134,1827.4379,4667,baja,275.91,5168,baja
las_dolores,2022,1.316446e-05,1.022,5152,6.764224e-05,5160,2.357709e-02,5156,1.121484e-04,5134,1838.8892,4667,baja,275.81,5168,baja
el_palomar,2022,1.521593e-05,1.1813,5152,1.309955e-04,5160,2.422900e-02,5156,1.445789e-04,5134,,4667,baja,275.89,5168,baja
alta_gracia,2022,1.531276e-05,1.1888,5152,1.407704e-04,5160,2.388321e-02,5156,1.335885e-04,5134,1844.265,4667,baja,276.02,5168,baja
santa_rita,2022,1.622267e-05,1.2595,5152,8.305095e-05,5160,2.413614e-02,5156,1.253529e-04,5134,1840.325,4667,baja,275.97,5168,baja
san_martin,2022,1.707011e-05,1.3252,5152,1.237858e-04,5160,2.415390e-02,5156,1.409827e-04,5134,1848.7932,4667,baja,276.08,5168,baja
villa_sarita,2022,1.637463e-05,1.2713,5152,8.999372e-05,5160,2.430217e-02,5156,1.416655e-04,5134,,4667,baja,275.92,5168,baja
el_brete,2022,1.720549e-05,1.3358,5152,1.066490e-04,5160,2.434853e-02,5156,1.411518e-04,5134,,4667,baja,276.13,5168,baja
luis_piedrabuena,2022,1.464121e-05,1.1367,5152,1.263894e-04,5160,2.376701e-02,5156,1.226024e-04,5134,1843.4694,4667,baja,275.9,5168,baja
san_lucas,2022,1.321076e-05,1.0256,5152,7.423672e-05,5160,2.357875e-02,5156,1.153789e-04,5134,1833.4503,4667,baja,275.88,5168,baja
monsenor_kemerer,2022,1.668263e-05,1.2952,5152,6.545355e-05,5160,2.409586e-02,5156,1.431614e-04,5134,1846.7986,4667,baja,276.02,5168,baja
rocamora,2022,1.659888e-05,1.2887,5152,1.239571e-04,5160,2.423152e-02,5156,1.424758e-04,5134,,4667,baja,275.99,5168,baja
yacyreta,2022,1.671768e-05,1.2979,5152,1.097635e-04,5160,2.405029e-02,5156,1.407311e-04,5134,1848.0778,4667,baja,276.12,5168,baja
villa_urquiza,2022,1.452938e-05,1.128,5152,1.405320e-04,5160,2.433528e-02,5156,1.475399e-04,5134,,4667,baja,275.86,5168,baja
complejo_habitacional_virgen_de_fatima,2022,1.387479e-05,1.0772,5152,3.095330e-05,5160,2.440113e-02,5156,1.256582e-04,5134,1823.9813,4667,baja,276.05,5168,baja
a4_nueva_esperanza,2022,1.236920e-05,0.9603,5152,3.593193e-05,5160,2.387831e-02,5156,1.240830e-04,5134,1831.7489,4667,baja,275.88,5168,baja
el_laurel,2022,1.688748e-05,1.3111,5152,9.844251e-05,5160,2.394083e-02,5156,1.494536e-04,5134,,4667,baja,276.12,5168,baja
cima_del_sol,2022,1.237738e-05,0.9609,5152,4.383242e-05,5160,2.370213e-02,5156,1.207221e-04,5134,1836.9701,4667,baja,275.86,5168,baja
san_isidro,2022,1.198241e-05,0.9303,5152,4.834728e-05,5160,2.369933e-02,5156,1.172815e-04,5134,1830.1739,4667,baja,275.7,5168,baja
lomas_de_garupa,2022,1.328716e-05,1.0316,5152,4.461701e-05,5160,2.442916e-02,5156,1.298996e-04,5134,1812.0696,4667,baja,276.09,5168,baja
santa_helena,2022,1.268715e-05,0.985,5152,7.658477e-05,5160,2.413582e-02,5156,1.224321e-04,5134,1820.7284,4667,baja,276.0,5168,baja
fatima,2022,1.401112e-05,1.0878,5152,3.051298e-05,5160,2.442474e-02,5156,1.227488e-04,5134,1819.8935,4667,baja,276.06,5168,baja
don_santiago,2022,1.276961e-05,0.9914,5152,7.445988e-05,5160,2.431852e-02,5156,1.272683e-04,5134,1815.2226,4667,baja,276.08,5168,baja
nu_pora,2022,1.381347e-05,1.0724,5152,3.433486e-05,5160,2.448656e-02,5156,1.266831e-04,5134,1813.7705,4667,baja,276.07,5168,baja
miguel_lanus,2022,1.333704e-05,1.0354,5152,3.070773e-05,5160,2.449308e-02,5156,1.356920e-04,5134,1826.9874,4667,baja,275.98,5168,baja
norte,2022,1.116502e-05,0.8668,5152,6.774849e-05,5160,2.401996e-02,5156,1.376076e-04,5134,1814.2619,4667,baja,276.0,5168,baja
centro,2022,1.618324e-05,1.2564,5152,1.050116e-04,5160,2.425120e-02,5156,1.434605e-04,5134,,4667,baja,275.9,5168,baja
complejo_gervasio_artigas,2022,1.172674e-05,0.9104,5152,8.233380e-05,5160,2.390534e-02,5156,1.310447e-04,5134,1815.8197,4667,baja,275.99,5168,baja
federal,2022,1.159248e-05,0.9,5152,9.670867e-05,5160,2.381990e-02,5156,1.233519e-04,5134,1819.1847,4667,baja,275.97,5168,baja
nemesio_parma,2022,1.323524e-05,1.0275,5152,1.112972e-04,5160,2.405559e-02,5156,1.354779e-04,5134,1838.4924,4667,baja,275.7,5168,baja
villa_cabello,2022,1.636495e-05,1.2705,5152,4.858646e-05,5160,2.402121e-02,5156,1.332276e-04,5134,1849.023,4667,baja,275.89,5168,baja
itaembe_pora,2022,1.285791e-05,0.9982,5152,6.411573e-05,5160,2.379354e-02,5156,1.104615e-04,5134,1834.0703,4667,baja,275.77,5168,baja
itaembe_mini,2022,1.397007e-05,1.0846,5152,8.006837e-05,5160,2.398148e-02,5156,1.180568e-04,5134,1838.5917,4667,baja,275.79,5168,baja
aguas_corrientes,2022,1.667229e-05,1.2944,5152,1.165330e-04,5160,2.427678e-02,5156,1.433409e-04,5134,,4667,baja,275.98,5168,baja
