poligono_id,tipo_poligono,anio,mes,pct_validos,count_validos,lst_mean,lst_median,lst_std,lst_p10,lst_p90,lst_max,fuente_lst,confianza_cross_sensor
a_3_2_sector_b,urbano,2018,2,50.0,182,35.22,35.03,0.66,34.6,36.24,37.01,landsat,
colonia_laosiana,urbano,2018,2,47.8,304,31.88,31.73,1.04,30.66,33.24,34.63,landsat,
san_jorge,urbano,2018,2,24.9,194,,,,,,,,
23_de_septiembre,urbano,2018,2,48.0,320,38.21,38.28,0.75,37.22,39.16,39.99,landsat,
villa_mola,urbano,2018,2,36.2,456,37.24,37.16,1.34,35.8,38.99,40.28,landsat,
san_marcos,urbano,2018,2,65.9,443,33.36,33.45,1.56,31.32,35.46,36.34,landsat,
las_dolores,urbano,2018,2,57.4,689,34.68,34.51,1.48,32.82,36.64,38.03,landsat,
el_palomar,urbano,2018,2,73.8,685,37.23,37.25,0.8,36.22,38.24,39.35,landsat,
alta_gracia,urbano,2018,2,77.9,773,35.36,35.17,1.34,34.06,37.08,42.21,landsat,
santa_rita,urbano,2018,2,53.4,744,35.8,36.04,1.51,33.76,37.68,39.41,landsat,
san_martin,urbano,2018,2,51.3,820,36.38,36.48,0.84,35.34,37.31,39.66,landsat,
villa_sarita,urbano,2018,2,68.0,690,35.24,35.26,0.74,34.25,36.14,37.53,landsat,
el_brete,urbano,2018,2,70.3,566,34.6,34.73,0.96,33.39,35.65,36.57,landsat,
luis_piedrabuena,urbano,2018,2,53.9,897,34.52,34.29,2.02,32.15,37.39,41.09,landsat,
san_lucas,urbano,2018,2,51.4,723,34.34,34.37,0.84,33.2,35.37,36.97,landsat,
monsenor_kemerer,urbano,2018,2,49.6,774,35.53,35.55,1.85,33.14,37.95,40.13,landsat,
rocamora,urbano,2018,2,57.2,635,37.03,37.31,1.14,35.28,38.39,39.34,landsat,
yacyreta,urbano,2018,2,57.5,793,36.11,36.15,0.92,34.83,37.13,38.86,landsat,
villa_urquiza,urbano,2018,2,58.4,941,37.21,37.16,1.45,35.13,39.01,41.77,landsat,
complejo_habitacional_virgen_de_fatima,urbano,2018,2,44.8,1003,36.68,36.62,1.37,35.1,38.64,41.02,landsat,
a4_nueva_esperanza,urbano,2018,2,64.1,719,38.68,38.54,1.07,37.34,39.98,41.99,landsat,
el_laurel,urbano,2018,2,60.4,597,30.9,30.49,1.75,29.0,33.5,36.17,landsat,
cima_del_sol,urbano,2018,2,72.7,1145,33.8,33.46,2.28,31.01,36.99,40.0,landsat,
san_isidro,urbano,2018,2,55.9,876,36.27,36.35,0.81,35.26,37.07,39.26,landsat,
lomas_de_garupa,urbano,2018,2,37.4,1048,34.45,34.24,2.1,31.77,37.39,38.32,landsat,
santa_helena,urbano,2018,2,53.8,1203,34.81,34.88,1.68,32.65,37.04,40.1,landsat,
fatima,urbano,2018,2,35.9,1059,33.7,33.56,2.05,31.23,36.51,40.67,landsat,
