poligono_id,anio,estacion,uhi_vs_rural_mean,uhi_vs_ciudad_mean,lst_mean,n_meses
23_de_septiembre,2018,invierno,0.89,0.64,22.74,1
23_de_septiembre,2018,otono,2.69,1.83,31.45,3
23_de_septiembre,2018,primavera,5.24,3.12,36.81,3
23_de_septiembre,2018,verano,3.02,3.2,38.21,1
23_de_septiembre,2019,invierno,1.36,0.7,23.08,2
23_de_septiembre,2019,otono,6.94,4.44,37.74,2
23_de_septiembre,2019,primavera,6.4,3.19,37.37,3
23_de_septiembre,2019,verano,6.66,4.06,42.11,2
23_de_septiembre,2020,invierno,1.5,1.01,24.07,1
23_de_septiembre,2020,otono,3.73,1.38,28.29,3
23_de_septiembre,2020,primavera,2.61,1.72,41.37,2
23_de_septiembre,2020,verano,5.68,3.06,41.72,2
23_de_septiembre,2021,invierno,0.32,0.66,19.55,2
23_de_septiembre,2021,otono,1.53,1.74,32.61,3
23_de_septiembre,2021,primavera,5.39,2.74,38.24,3
23_de_septiembre,2021,verano,3.64,2.11,42.56,2
23_de_septiembre,2022,invierno,3.16,1.5,23.68,2
23_de_septiembre,2022,otono,2.32,1.25,27.91,3
23_de_septiembre,2022,primavera,3.99,2.35,34.5,3
23_de_septiembre,2022,verano,4.18,2.03,44.59,3
23_de_septiembre,2023,invierno,1.25,0.43,26.29,3
23_de_septiembre,2023,otono,3.0,1.48,31.27,3
23_de_septiembre,2023,primavera,5.45,2.83,37.71,3
23_de_septiembre,2023,verano,3.44,2.26,43.77,3
23_de_septiembre,2024,invierno,2.35,1.0,20.23,3
23_de_septiembre,2024,otono,0.6,0.19,29.16,3
23_de_septiembre,2024,primavera,5.94,2.69,36.17,3
23_de_septiembre,2024,verano,8.69,3.66,46.18,3
23_de_septiembre,2025,invierno,1.0,0.25,17.91,3
23_de_septiembre,2025,otono,1.63,0.94,29.8,3
23_de_septiembre,2025,primavera,5.75,2.74,36.13,3
23_de_septiembre,2025,verano,5.13,2.74,43.38,3
23_de_septiembre,2026,otono,7.88,3.38,41.25,1
23_de_septiembre,2026,verano,5.97,3.12,43.51,3
a4_nueva_esperanza,2018,invierno,2.45,2.2,24.3,1
a4_nueva_esperanza,2018,otono,4.13,3.26,32.89,3
a4_nueva_esperanza,2018,primavera,5.53,3.41,37.1,3
a4_nueva_esperanza,2018,verano,3.49,3.67,38.68,1
a4_nueva_esperanza,2019,invierno,3.39,2.72,25.11,2
a4_nueva_esperanza,2019,otono,6.3,3.8,37.1,2
a4_nueva_esperanza,2019,primavera,7.36,4.15,38.33,3
a4_nueva_esperanza,2019,verano,6.58,3.98,42.03,2
a4_nueva_esperanza,2020,invierno,2.42,1.93,24.99,1
a4_nueva_esperanza,2020,otono,5.27,2.92,29.82,3
a4_nueva_esperanza,2020,primavera,3.86,2.97,42.62,2
a4_nueva_esperanza,2020,verano,6.42,3.81,42.47,2
a4_nueva_esperanza,2021,invierno,1.27,1.6,20.48,2
a4_nueva_esperanza,2021,otono,2.84,3.05,33.92,3
a4_nueva_esperanza,2021,primavera,6.28,3.63,39.13,3
a4_nueva_esperanza,2021,verano,5.16,3.64,44.09,2
a4_nueva_esperanza,2022,invierno,4.23,2.57,24.76,2
a4_nueva_esperanza,2022,otono,4.11,3.04,29.7,3
a4_nueva_esperanza,2022,primavera,6.35,4.71,36.86,3
a4_nueva_esperanza,2022,verano,5.68,3.52,46.08,3
a4_nueva_esperanza,2023,invierno,3.7,2.87,28.74,3
a4_nueva_esperanza,2023,otono,5.0,3.48,33.27,3
a4_nueva_esperanza,2023,primavera,7.12,4.5,39.38,3
a4_nueva_esperanza,2023,verano,5.31,4.13,45.64,3
a4_nueva_esperanza,2024,invierno,4.1,2.75,21.98,3
a4_nueva_esperanza,2024,otono,2.66,2.25,31.22,3
a4_nueva_esperanza,2024,primavera,7.73,4.48,37.96,3
a4_nueva_esperanza,2024,verano,9.84,4.81,47.32,3
a4_nueva_esperanza,2025,invierno,3.16,2.42,20.08,3
a4_nueva_esperanza,2025,otono,3.47,2.78,31.64,3
