poligono_id,anio,mes,lst_mean,uhi_vs_rural,uhi_vs_ciudad,uhi_anomalia,lst_rural_baseline,n_observaciones_historico,std_historico
itaembe_guazu,2024,1,41.35,3.68,-0.31,,37.67,0,
itaembe_mini,2024,1,41.4,3.73,-0.26,,37.67,0,
chacra_32,2024,1,45.38,7.71,3.72,,37.67,0,
villa_cabello,2024,1,39.9,2.23,-1.76,,37.67,0,
miguel_lanus,2024,1,41.4,3.73,-0.26,,37.67,0,
villa_sarita,2024,1,43.24,5.57,1.58,,37.67,0,
nemesio_parma,2024,1,36.12,-1.55,-5.54,,37.67,0,
itaembe_pora,2024,1,40.36,2.69,-1.3,,37.67,0,
villa_urquiza,2024,1,44.72,7.05,3.06,,37.67,0,
aguas_corrientes,2024,1,44.61,6.94,2.95,,37.67,0,
centro,2024,1,44.16,6.49,2.5,,37.67,0,
bajada_vieja,2024,1,38.09,0.42,-3.57,,37.67,0,
villa_bonita,2024,1,40.84,3.17,-0.82,,37.67,0,
itaembe_guazu,2024,7,17.23,1.44,-0.29,,15.79,0,
itaembe_mini,2024,7,18.11,2.32,0.59,,15.79,0,
chacra_32,2024,7,20.38,4.59,2.86,,15.79,0,
villa_cabello,2024,7,17.0,1.21,-0.52,,15.79,0,
nemesio_parma,2024,7,17.79,2.0,0.27,,15.79,0,
itaembe_pora,2024,7,17.09,1.3,-0.43,,15.79,0,
aguas_corrientes,2024,7,19.0,3.21,1.48,,15.79,0,
bajada_vieja,2024,7,13.58,-2.21,-3.94,,15.79,0,
itaembe_guazu,2024,12,39.2,2.42,-0.92,,36.78,0,
itaembe_mini,2024,12,39.49,2.71,-0.63,,36.78,0,
chacra_32,2024,12,43.81,7.03,3.69,,36.78,0,
villa_cabello,2024,12,37.7,0.92,-2.42,,36.78,0,
miguel_lanus,2024,12,40.53,3.75,0.41,,36.78,0,
villa_sarita,2024,12,41.76,4.98,1.64,,36.78,0,
nemesio_parma,2024,12,34.04,-2.74,-6.08,,36.78,0,
itaembe_pora,2024,12,38.62,1.84,-1.5,,36.78,0,
villa_urquiza,2024,12,43.5,6.72,3.38,,36.78,0,
aguas_corrientes,2024,12,43.17,6.39,3.05,,36.78,0,
centro,2024,12,42.85,6.07,2.73,,36.78,0,
bajada_vieja,2024,12,36.35,-0.43,-3.77,,36.78,0,
villa_bonita,2024,12,40.51,3.73,0.39,,36.78,0,
