poligono_id,anio,precip_mm_anual,precip_mm_verano,precip_mm_invierno
itaembe_guazu,2018,1715.78,1231.36,480.86
itaembe_guazu,2019,1962.99,1241.34,918.66
itaembe_guazu,2020,1383.94,937.56,619.02
itaembe_guazu,2021,1406.84,855.59,487.44
itaembe_guazu,2022,1559.89,797.54,745.08
itaembe_guazu,2023,2262.53,653.19,855.24
itaembe_guazu,2024,1978.79,1652.01,936.58
itaembe_guazu,2025,2157.55,845.17,1089.74
itaembe_mini,2018,1727.41,1234.94,484.19
itaembe_mini,2019,1996.9,1265.8,927.95
itaembe_mini,2020,1393.63,945.66,631.13
itaembe_mini,2021,1409.27,858.33,488.56
itaembe_mini,2022,1555.41,793.22,740.43
itaembe_mini,2023,2267.44,652.29,854.93
itaembe_mini,2024,1977.55,1659.56,931.18
itaembe_mini,2025,2170.35,853.1,1096.65
chacra_32,2018,1693.18,1240.21,472.01
chacra_32,2019,1979.11,1252.31,916.78
chacra_32,2020,1389.07,927.33,639.0
chacra_32,2021,1409.69,844.59,490.36
chacra_32,2022,1551.97,792.72,743.77
chacra_32,2023,2262.07,645.13,870.46
chacra_32,2024,1969.43,1622.48,943.54
chacra_32,2025,2149.19,855.98,1075.68
villa_cabello,2018,1690.57,1244.38,471.95
villa_cabello,2019,1958.06,1241.28,909.28
villa_cabello,2020,1374.81,928.19,621.83
villa_cabello,2021,1408.9,841.81,487.13
villa_cabello,2022,1551.4,794.61,746.37
villa_cabello,2023,2283.86,650.96,876.21
villa_cabello,2024,1965.52,1637.3,941.32
villa_cabello,2025,2144.14,847.56,1069.44
el_brete,2018,1684.15,1234.12,470.19
el_brete,2019,1970.57,1247.01,914.81
el_brete,2020,1385.13,922.74,637.07
el_brete,2021,1408.0,840.17,489.91
el_brete,2022,1553.48,791.17,746.06
el_brete,2023,2271.34,650.0,877.54
el_brete,2024,1974.11,1620.86,951.54
el_brete,2025,2141.86,853.42,1069.87
miguel_lanus,2018,1694.79,1227.3,472.02
miguel_lanus,2019,1986.92,1271.43,917.05
miguel_lanus,2020,1393.3,909.22,655.96
miguel_lanus,2021,1403.19,832.99,488.51
miguel_lanus,2022,1551.48,807.27,740.55
miguel_lanus,2023,2240.85,631.9,862.38
miguel_lanus,2024,1938.06,1622.38,913.28
miguel_lanus,2025,2157.9,842.69,1098.2
villa_sarita,2018,1671.54,1207.53,469.24
villa_sarita,2019,1952.88,1235.83,916.37
villa_sarita,2020,1416.75,919.34,661.41
villa_sarita,2021,1393.81,831.97,489.26
villa_sarita,2022,1569.95,792.61,755.91
villa_sarita,2023,2295.38,651.32,899.63
villa_sarita,2024,1974.75,1623.63,955.13
villa_sarita,2025,2161.64,859.17,1075.79
nemesio_parma,2018,1698.37,1238.24,478.34
nemesio_parma,2019,1938.76,1210.2,917.32
nemesio_parma,2020,1369.39,930.75,601.12
nemesio_parma,2021,1410.55,847.73,489.89
nemesio_parma,2022,1562.53,799.25,755.24
nemesio_parma,2023,2261.78,653.74,868.21
nemesio_parma,2024,1984.05,1619.17,956.87
nemesio_parma,2025,2150.97,851.78,1078.83
itaembe_pora,2018,1730.89,1231.99,485.9
itaembe_pora,2019,1997.55,1266.99,929.27
itaembe_pora,2020,1391.31,947.12,627.76
itaembe_pora,2021,1408.93,859.26,487.98
itaembe_pora,2022,1556.05,792.8,740.28
itaembe_pora,2023,2271.4,655.76,853.85
itaembe_pora,2024,1980.82,1666.37,931.65
itaembe_pora,2025,2170.52,850.77,1098.4
villa_urquiza,2018,1671.54,1207.53,469.24
villa_urquiza,2019,1952.88,1235.83,916.37
villa_urquiza,2020,1416.75,919.34,661.41
villa_urquiza,2021,1393.81,831.97,489.26
villa_urquiza,2022,1569.95,792.61,755.91
villa_urquiza,2023,2295.38,651.32,899.63
villa_urquiza,2024,1974.75,1623.63,955.13
villa_urquiza,2025,2161.64,859.17,1075.79
aguas_corrientes,2018,1682.45,1230.54,470.06
aguas_corrientes,2019,1968.19,1245.5,915.02
aguas_corrientes,2020,1389.39,922.28,640.35
aguas_corrientes,2021,1406.09,839.06,489.82
aguas_corrientes,2022,1555.7,791.36,747.38
aguas_corrientes,2023,2274.57,650.18,880.52
aguas_corrientes,2024,1974.2,1621.23,952.02
aguas_corrientes,2025,2144.52,854.19,1070.66
centro,2018,1672.46,1209.49,469.31
centro,2019,1954.18,1236.65,916.25
centro,2020,1414.42,919.59,659.62
centro,2021,1394.85,832.57,489.3
centro,2022,1568.74,792.5,755.19
centro,2023,2293.61,651.22,898.0
centro,2024,1974.7,1623.42,954.87
centro,2025,2160.18,858.75,1075.35
bajada_vieja,2018,1671.54,1207.53,469.24
bajada_vieja,2019,1952.88,1235.83,916.37
bajada_vieja,2020,1416.75,919.34,661.41
bajada_vieja,2021,1393.81,831.97,489.26
bajada_vieja,2022,1569.95,792.61,755.91
bajada_vieja,2023,2295.38,651.32,899.63
bajada_vieja,2024,1974.75,1623.63,955.13
bajada_vieja,2025,2161.64,859.17,1075.79
villa_bonita,2018,1700.48,1224.3,468.32
villa_bonita,2019,2001.92,1280.08,917.93
villa_bonita,2020,1405.17,932.25,650.15
villa_bonita,2021,1398.53,841.51,486.4
villa_bonita,2022,1554.42,804.17,745.49
villa_bonita,2023,2260.22,630.74,871.47
villa_bonita,2024,1948.86,1638.44,918.67
villa_bonita,2025,2161.15,845.75,1102.23
