time,temp_p10,temp_p50,temp_p90,rh_p50,precip_p50,wind_p50
2026-06-01T00:00,11.5,13.45,15.5,95.0,0.0,4.7
2026-06-01T01:00,11.3,12.95,14.8,96.0,0.0,4.5
2026-06-01T02:00,11.11,12.5,14.4,96.5,0.0,4.7
2026-06-01T03:00,10.8,12.15,14.0,97.0,0.0,5.1
2026-06-01T04:00,10.2,11.85,13.79,98.0,0.0,5.45
2026-06-01T05:00,9.62,11.6,13.69,97.0,0.0,5.8
2026-06-01T06:00,9.51,11.65,13.59,97.0,0.0,5.9
2026-06-01T07:00,10.0,11.8,13.4,95.0,0.0,5.9
2026-06-01T08:00,10.81,12.0,13.4,94.5,0.0,5.6
2026-06-01T09:00,12.3,13.1,14.3,91.5,0.0,5.9
2026-06-01T10:00,13.9,15.05,16.09,85.0,0.0,6.55
2026-06-01T11:00,16.21,17.3,18.29,78.0,0.0,6.55
2026-06-01T12:00,18.01,19.15,20.19,71.0,0.0,6.9
2026-06-01T13:00,19.2,20.3,21.4,65.0,0.0,6.4
2026-06-01T14:00,19.91,21.05,22.2,60.0,0.0,5.95
2026-06-01T15:00,20.3,21.3,22.2,58.0,0.0,6.15
2026-06-01T16:00,19.91,20.7,21.4,59.0,0.0,6.5
2026-06-01T17:00,18.11,19.6,20.69,63.0,0.0,6.85
2026-06-01T18:00,16.4,18.3,19.4,69.0,0.0,7.0
2026-06-01T19:00,15.3,17.05,18.19,74.0,0.0,7.05
2026-06-01T20:00,14.5,16.05,17.3,78.5,0.0,7.4
2026-06-01T21:00,13.7,15.25,16.9,82.0,0.0,7.8
2026-06-01T22:00,13.01,14.45,16.3,85.5,0.0,7.4
2026-06-01T23:00,12.5,13.75,15.98,87.0,0.0,6.7
2026-06-02T00:00,12.01,13.3,15.5,89.0,0.0,6.05
2026-06-02T01:00,11.6,12.8,15.29,90.0,0.0,5.85
2026-06-02T02:00,11.2,12.45,14.8,91.0,0.0,5.9
2026-06-02T03:00,10.81,12.0,14.5,93.0,0.0,5.9
2026-06-02T04:00,10.42,11.5,14.1,94.0,0.0,5.85
2026-06-02T05:00,10.0,11.2,13.79,94.0,0.0,5.85
2026-06-02T06:00,10.0,11.25,13.49,94.0,0.0,6.0
2026-06-02T07:00,10.3,11.5,13.39,93.0,0.0,5.9
2026-06-02T08:00,11.02,12.2,13.4,92.0,0.0,6.0
2026-06-02T09:00,12.4,13.5,14.7,87.0,0.0,6.6
2026-06-02T10:00,14.42,15.7,16.6,80.0,0.0,7.55
2026-06-02T11:00,16.92,18.0,19.0,72.0,0.0,7.15
2026-06-02T12:00,19.0,20.0,21.29,64.0,0.0,6.8
2026-06-02T13:00,20.41,21.3,22.68,60.0,0.0,5.95
2026-06-02T14:00,21.31,22.1,23.4,58.0,0.0,5.15
2026-06-02T15:00,21.4,22.45,23.49,57.0,0.0,4.7
2026-06-02T16:00,20.7,21.95,22.7,59.0,0.0,4.4
2026-06-02T17:00,18.8,20.5,22.2,64.0,0.0,4.7
2026-06-02T18:00,17.0,19.25,20.7,71.0,0.0,4.75
2026-06-02T19:00,15.91,17.8,19.2,76.5,0.0,5.2
2026-06-02T20:00,15.3,16.75,18.5,81.5,0.0,5.65
2026-06-02T21:00,14.7,15.95,17.8,85.5,0.0,6.25
2026-06-02T22:00,14.1,15.35,17.19,89.0,0.0,6.1
2026-06-02T23:00,13.8,14.9,16.8,90.0,0.0,6.1
2026-06-03T00:00,13.5,14.6,16.5,91.5,0.0,6.1
2026-06-03T01:00,13.2,14.2,16.2,93.0,0.0,5.8
2026-06-03T02:00,12.81,13.8,15.9,93.0,0.0,5.4
2026-06-03T03:00,12.51,13.6,15.79,94.0,0.0,5.2
2026-06-03T04:00,12.2,13.15,15.4,94.0,0.0,5.4
2026-06-03T05:00,11.71,12.8,15.0,95.0,0.0,5.8
2026-06-03T06:00,11.8,12.8,15.1,95.0,0.0,6.05
2026-06-03T07:00,12.2,13.2,15.58,93.5,0.0,6.75
2026-06-03T08:00,12.81,14.0,16.39,91.0,0.0,7.4
2026-06-03T09:00,14.11,15.2,17.4,86.5,0.0,8.0
2026-06-03T10:00,16.31,17.2,19.09,80.0,0.0,9.0
2026-06-03T11:00,18.8,19.9,21.3,70.5,0.0,10.4
2026-06-03T12:00,20.8,22.1,23.09,63.5,0.0,10.7
2026-06-03T13:00,21.82,23.4,24.29,59.0,0.0,10.5
2026-06-03T14:00,22.6,24.15,24.99,57.0,0.0,9.7
2026-06-03T15:00,22.7,24.2,25.0,57.0,0.0,9.0
2026-06-03T16:00,21.8,23.4,24.49,61.0,0.0,8.3
2026-06-03T17:00,20.2,21.5,23.49,67.0,0.0,7.2
2026-06-03T18:00,18.51,20.05,22.4,72.0,0.0,6.9
2026-06-03T19:00,17.41,18.75,21.39,76.0,0.0,7.35
2026-06-03T20:00,16.5,17.6,20.1,80.0,0.0,7.05
2026-06-03T21:00,15.41,16.8,19.1,82.0,0.0,7.1
2026-06-03T22:00,14.7,16.1,18.4,85.0,0.0,7.0
2026-06-03T23:00,14.2,15.5,17.8,86.5,0.0,6.8
