poligono_id,anio,built_surface_m2,pop_estimada,pct_built,densidad_pop_km2,area_km2
a_3_2_sector_b,1975,44595.06,537.02,31.2323,3761.06,0.1428
a_3_2_sector_b,1980,46345.09,644.67,32.4579,4514.94,0.1428
a_3_2_sector_b,1985,48095.48,765.97,33.6838,5364.5,0.1428
a_3_2_sector_b,1990,49845.5,909.92,34.9094,6372.65,0.1428
a_3_2_sector_b,1995,53513.48,975.45,37.4783,6831.58,0.1428
a_3_2_sector_b,2000,57175.07,1040.31,40.0427,7285.81,0.1428
a_3_2_sector_b,2005,57698.58,1012.81,40.4094,7093.22,0.1428
a_3_2_sector_b,2010,58220.04,970.6,40.7746,6797.6,0.1428
a_3_2_sector_b,2015,58746.69,980.03,41.1434,6863.65,0.1428
a_3_2_sector_b,2020,59283.84,1014.32,41.5196,7103.78,0.1428
a_3_2_sector_b,2025,59283.84,1061.68,41.5196,7435.5,0.1428
a_3_2_sector_b,2030,59283.84,1100.65,41.5196,7708.41,0.1428
colonia_laosiana,1975,3223.77,14.48,1.3354,59.99,0.2414
colonia_laosiana,1980,3918.05,20.32,1.623,84.19,0.2414
colonia_laosiana,1985,4635.49,27.53,1.9202,114.06,0.2414
colonia_laosiana,1990,5342.57,36.38,2.2131,150.7,0.2414
colonia_laosiana,1995,5347.57,36.38,2.2152,150.68,0.2414
colonia_laosiana,2000,5351.57,36.35,2.2168,150.57,0.2414
colonia_laosiana,2005,5512.61,36.13,2.2835,149.65,0.2414
colonia_laosiana,2010,5676.1,35.34,2.3512,146.37,0.2414
colonia_laosiana,2015,5822.24,36.27,2.4118,150.25,0.2414
colonia_laosiana,2020,5923.2,37.88,2.4536,156.9,0.2414
colonia_laosiana,2025,5923.2,39.64,2.4536,164.22,0.2414
colonia_laosiana,2030,5923.2,41.1,2.4536,170.25,0.2414
san_jorge,1975,12001.12,113.68,7.8319,741.89,0.1532
san_jorge,1980,13828.84,154.69,9.0247,1009.52,0.1532
san_jorge,1985,15654.91,203.88,10.2164,1330.49,0.1532
san_jorge,1990,17482.8,264.47,11.4093,1725.93,0.1532
san_jorge,1995,25186.89,410.43,16.4369,2678.46,0.1532
san_jorge,2000,32905.13,555.58,21.4739,3625.72,0.1532
san_jorge,2005,39241.62,658.53,25.6091,4297.55,0.1532
san_jorge,2010,45577.05,741.79,29.7436,4840.93,0.1532
san_jorge,2015,50906.93,838.96,33.2218,5475.07,0.1532
san_jorge,2020,52225.77,878.86,34.0825,5735.41,0.1532
san_jorge,2025,52225.77,919.89,34.0825,6003.22,0.1532
san_jorge,2030,52225.77,952.59,34.0825,6216.57,0.1532
23_de_septiembre,1975,89488.46,911.2,35.2779,3592.1,0.2537
23_de_septiembre,1980,91786.87,1084.18,36.1839,4274.03,0.2537
23_de_septiembre,1985,94085.18,1277.49,37.09,5036.09,0.2537
23_de_septiembre,1990,96383.59,1505.75,37.9961,5935.93,0.2537
23_de_septiembre,1995,98044.28,1527.86,38.6507,6023.1,0.2537
23_de_septiembre,2000,99699.46,1549.28,39.3032,6107.54,0.2537
23_de_septiembre,2005,100197.85,1500.72,39.4997,5916.1,0.2537
23_de_septiembre,2010,100695.7,1431.07,39.696,5641.52,0.2537
23_de_septiembre,2015,101096.84,1436.67,39.8541,5663.59,0.2537
23_de_septiembre,2020,101109.93,1473.62,39.8593,5809.27,0.2537
23_de_septiembre,2025,101109.93,1542.43,39.8593,6080.54,0.2537
23_de_septiembre,2030,101109.93,1599.05,39.8593,6303.71,0.2537
villa_mola,1975,51886.48,726.42,14.3753,2012.56,0.3609
villa_mola,1980,54109.97,866.51,14.9913,2400.69,0.3609
villa_mola,1985,56353.82,1023.62,15.613,2835.98,0.3609
villa_mola,1990,58585.51,1209.22,16.2313,3350.18,0.3609
villa_mola,1995,60478.73,1237.09,16.7558,3427.39,0.3609
villa_mola,2000,62375.38,1264.33,17.2813,3502.87,0.3609
villa_mola,2005,63822.09,1235.76,17.6821,3423.71,0.3609
villa_mola,2010,65286.65,1188.96,18.0879,3294.06,0.3609
villa_mola,2015,67130.11,1206.67,18.5986,3343.11,0.3609
villa_mola,2020,69551.52,1255.67,19.2695,3478.88,0.3609
villa_mola,2025,69935.47,1316.77,19.3758,3648.15,0.3609
