poligono_id,anio,no2_mean_mol_m2,no2_relativo_bbox
itaembe_guazu,2023,1.323220e-05,0.9705
itaembe_mini,2023,1.425506e-05,1.0455
chacra_32,2023,1.619251e-05,1.1876
villa_cabello,2023,1.587769e-05,1.1645
el_brete,2023,1.658890e-05,1.2167
miguel_lanus,2023,1.486713e-05,1.0904
villa_sarita,2023,1.637589e-05,1.2011
nemesio_parma,2023,1.344883e-05,0.9864
itaembe_pora,2023,1.383817e-05,1.0149
villa_urquiza,2023,1.593177e-05,1.1685
aguas_corrientes,2023,1.633950e-05,1.1984
centro,2023,1.598154e-05,1.1722
bajada_vieja,2023,1.554035e-05,1.1398
villa_bonita,2023,1.369084e-05,1.0041
