poligono_id,anio,poblacion_estimada,densidad_hab_km2,confianza_inferior,confianza_superior
a_3_2_sector_b,2018,431,3018.5,344,518
a_3_2_sector_b,2019,613,4293.2,490,736
a_3_2_sector_b,2020,617,4321.2,493,740
a_3_2_sector_b,2021,769,5385.7,615,923
a_3_2_sector_b,2022,773,5413.7,618,928
a_3_2_sector_b,2023,806,5644.8,644,968
a_3_2_sector_b,2024,825,5777.9,659,990
a_3_2_sector_b,2025,828,5798.9,662,994
colonia_laosiana,2018,0,0.0,0,0
colonia_laosiana,2019,134,555.1,106,161
colonia_laosiana,2020,134,555.1,106,161
colonia_laosiana,2021,134,555.1,106,161
colonia_laosiana,2022,134,555.1,106,161
colonia_laosiana,2023,134,555.1,106,161
colonia_laosiana,2024,134,555.1,106,161
colonia_laosiana,2025,134,555.1,106,161
san_jorge,2018,1516,9893.4,1212,1819
san_jorge,2019,1663,10852.7,1330,1996
san_jorge,2020,1670,10898.4,1336,2005
san_jorge,2021,1678,10950.6,1342,2014
san_jorge,2022,1685,10996.3,1347,2022
san_jorge,2023,1710,11159.4,1368,2052
san_jorge,2024,1724,11250.8,1379,2070
san_jorge,2025,1724,11250.8,1379,2070
23_de_septiembre,2018,1318,5195.8,1054,1583
23_de_septiembre,2019,1635,6445.4,1308,1963
23_de_septiembre,2020,1698,6693.8,1358,2038
23_de_septiembre,2021,1821,7178.7,1456,2186
23_de_septiembre,2022,1885,7431.0,1507,2262
23_de_septiembre,2023,1933,7620.2,1546,2320
23_de_septiembre,2024,2011,7927.7,1608,2414
23_de_septiembre,2025,2060,8120.9,1647,2472
villa_mola,2018,1574,4360.8,1259,1889
villa_mola,2019,1839,5095.0,1471,2207
villa_mola,2020,1875,5194.7,1499,2250
villa_mola,2021,1963,5438.6,1570,2356
villa_mola,2022,2016,5585.4,1612,2420
villa_mola,2023,2157,5976.0,1725,2589
villa_mola,2024,2193,6075.8,1754,2632
villa_mola,2025,2228,6172.7,1782,2674
san_marcos,2018,775,2207.4,620,931
san_marcos,2019,1073,3056.2,858,1288
san_marcos,2020,1107,3153.1,885,1329
san_marcos,2021,1239,3529.1,991,1487
san_marcos,2022,1273,3625.9,1018,1529
san_marcos,2023,1377,3922.1,1101,1653
san_marcos,2024,1495,4258.2,1195,1794
