poligono_id,metrica,anio_proyeccion,valor_pred,ci_inferior,ci_superior,modelo,r2,confianza,n_obs
23_de_septiembre,poblacion,2027,2534.405,2232.553,2836.256,lineal,0.8944,alta,8
23_de_septiembre,poblacion,2030,2834.012,2459.189,3208.835,lineal,0.8944,alta,8
23_de_septiembre,poblacion,2035,3333.357,2813.919,3852.795,lineal,0.8944,alta,8
a4_nueva_esperanza,poblacion,2027,4898.702,4190.226,5607.179,lineal,0.7974,media,8
a4_nueva_esperanza,poblacion,2030,5378.131,4498.382,6257.879,lineal,0.7974,media,8
a4_nueva_esperanza,poblacion,2035,6177.179,4958.004,7396.353,lineal,0.7974,media,8
a_3_2_sector_b,poblacion,2027,1572.845,1293.49,1852.2,lineal,0.8719,alta,8
a_3_2_sector_b,poblacion,2030,1821.488,1474.6,2168.376,lineal,0.8719,alta,8
a_3_2_sector_b,poblacion,2035,2235.893,1755.167,2716.618,lineal,0.8719,alta,8
aguas_corrientes,poblacion,2027,26377.631,23883.003,28872.259,lineal,0.8747,alta,8
aguas_corrientes,poblacion,2030,28626.202,25528.506,31723.899,lineal,0.8747,alta,8
aguas_corrientes,poblacion,2035,32373.821,28080.966,36666.677,lineal,0.8747,alta,8
alta_gracia,poblacion,2027,2137.155,1874.519,2399.79,lineal,0.9425,alta,8
alta_gracia,poblacion,2030,2499.762,2173.635,2825.889,lineal,0.9425,alta,8
alta_gracia,poblacion,2035,3104.107,2652.153,3556.061,lineal,0.9425,alta,8
bajada_vieja,poblacion,2027,4012.012,3635.97,4388.054,lineal,0.8719,alta,8
bajada_vieja,poblacion,2030,4346.655,3879.706,4813.604,lineal,0.8719,alta,8
bajada_vieja,poblacion,2035,4904.393,4257.284,5551.501,lineal,0.8719,alta,8
centro,poblacion,2027,29318.583,27312.613,31324.554,lineal,0.834,media,8
centro,poblacion,2030,30852.583,28361.676,33343.491,lineal,0.834,media,8
centro,poblacion,2035,33409.25,29957.296,36861.204,lineal,0.834,media,8
chacra_32,poblacion,2027,30500.369,26989.848,34010.89,lineal,0.9053,alta,8
chacra_32,poblacion,2030,34203.798,29844.619,38562.976,lineal,0.9053,alta,8
chacra_32,poblacion,2035,40376.179,34335.134,46417.223,lineal,0.9053,alta,8
cima_del_sol,poblacion,2027,1876.655,1766.67,1986.639,lineal,0.9789,alta,8
cima_del_sol,poblacion,2030,2132.012,1995.439,2268.585,lineal,0.9789,alta,8
cima_del_sol,poblacion,2035,2557.607,2368.341,2746.873,lineal,0.9789,alta,8
cit_riberas_del_parana,poblacion,2027,12536.571,11333.711,13739.432,lineal,0.9426,alta,8
cit_riberas_del_parana,poblacion,2030,14199.429,12705.781,15693.076,lineal,0.9426,alta,8
cit_riberas_del_parana,poblacion,2035,16970.857,14900.927,19040.787,lineal,0.9426,alta,8
cit_riberas_del_parana_oeste,poblacion,2027,18450.202,16292.033,20608.372,lineal,0.945,alta,8
cit_riberas_del_parana_oeste,poblacion,2030,21502.131,18822.231,24182.031,lineal,0.945,alta,8
cit_riberas_del_parana_oeste,poblacion,2035,26588.679,22874.814,30302.543,lineal,0.945,alta,8
colonia_laosiana,poblacion,2027,5.333,1.188,9.479,lineal,0.3333,baja,8
colonia_laosiana,poblacion,2030,6.333,1.186,11.481,lineal,0.3333,baja,8
colonia_laosiana,poblacion,2035,8.0,0.866,15.134,lineal,0.3333,baja,8
complejo_gervasio_artigas,poblacion,2027,6703.75,5882.056,7525.444,lineal,0.8557,alta,8
complejo_gervasio_artigas,poblacion,2030,7386.25,6365.915,8406.585,lineal,0.8557,alta,8
complejo_gervasio_artigas,poblacion,2035,8523.75,7109.747,9937.753,lineal,0.8557,alta,8
complejo_habitacional_virgen_de_fatima,poblacion,2027,4610.524,3967.731,5253.317,lineal,0.8537,alta,8
complejo_habitacional_virgen_de_fatima,poblacion,2030,5140.31,4342.123,5938.496,lineal,0.8537,alta,8
complejo_habitacional_virgen_de_fatima,poblacion,2035,6023.286,4917.142,7129.43,lineal,0.8537,alta,8
dm_itaembe_mini_este,poblacion,2027,18004.06,16035.213,19972.906,lineal,0.9522,alta,8
dm_itaembe_mini_este,poblacion,2030,21001.024,18556.214,23445.834,lineal,0.9522,alta,8
dm_itaembe_mini_este,poblacion,2035,25995.964,22607.894,29384.035,lineal,0.9522,alta,8
dm_itaembe_mini_este_suroeste,poblacion,2027,13009.833,11992.748,14026.918,lineal,0.9104,alta,8
dm_itaembe_mini_este_suroeste,poblacion,2030,14115.583,12852.621,15378.546,lineal,0.9104,alta,8
dm_itaembe_mini_este_suroeste,poblacion,2035,15958.5,14208.259,17708.741,lineal,0.9104,alta,8
dm_miguel_lanus,poblacion,2027,13951.5,12206.733,15696.267,lineal,0.9046,alta,8
dm_miguel_lanus,poblacion,2030,15784.5,13617.941,17951.059,lineal,0.9046,alta,8
dm_miguel_lanus,poblacion,2035,18839.5,15837.036,21841.964,lineal,0.9046,alta,8
dm_miguel_lanus_sur,poblacion,2027,9331.738,8443.662,10219.814,lineal,0.9478,alta,8
dm_miguel_lanus_sur,poblacion,2030,10622.345,9519.58,11725.111,lineal,0.9478,alta,8
dm_miguel_lanus_sur,poblacion,2035,12773.357,11245.12,14301.594,lineal,0.9478,alta,8
dm_santa_rita,poblacion,2027,20682.357,18007.954,23356.761,lineal,0.8886,alta,8
dm_santa_rita,poblacion,2030,23259.143,19938.211,26580.075,lineal,0.8886,alta,8
dm_santa_rita,poblacion,2035,27553.786,22951.565,32156.006,lineal,0.8886,alta,8
dm_santa_rita_suroeste,poblacion,2027,31387.071,27031.727,35742.416,lineal,0.9107,alta,8
dm_santa_rita_suroeste,poblacion,2030,36131.679,30723.443,41539.915,lineal,0.9107,alta,8
dm_santa_rita_suroeste,poblacion,2035,44039.357,36544.506,51534.208,lineal,0.9107,alta,8
dm_villa_urquiza,poblacion,2027,15843.571,13744.289,17942.854,lineal,0.8718,alta,8
dm_villa_urquiza,poblacion,2030,17711.179,15104.401,20317.956,lineal,0.8718,alta,8
dm_villa_urquiza,poblacion,2035,20823.857,17211.328,24436.387,lineal,0.8718,alta,8
dm_villa_urquiza_sureste,poblacion,2027,4487.583,3926.651,5048.516,lineal,0.8776,alta,8
dm_villa_urquiza_sureste,poblacion,2030,5000.083,4303.547,5696.619,lineal,0.8776,alta,8
dm_villa_urquiza_sureste,poblacion,2035,5854.25,4888.975,6819.525,lineal,0.8776,alta,8
don_santiago,poblacion,2027,1344.048,1014.923,1673.172,lineal,0.8025,media,8
don_santiago,poblacion,2030,1570.369,1161.68,1979.058,lineal,0.8025,media,8
don_santiago,poblacion,2035,1947.571,1381.201,2513.942,lineal,0.8025,media,8
el_brete,poblacion,2027,4017.893,3546.88,4488.906,lineal,0.9142,alta,8
el_brete,poblacion,2030,4542.357,3957.478,5127.236,lineal,0.9142,alta,8
el_brete,poblacion,2035,5416.464,4605.927,6227.002,lineal,0.9142,alta,8
el_laurel,poblacion,2027,575.512,478.839,672.185,lineal,0.9104,alta,8
el_laurel,poblacion,2030,680.655,560.612,800.698,lineal,0.9104,alta,8
el_laurel,poblacion,2035,855.893,689.534,1022.251,lineal,0.9104,alta,8
el_palomar,poblacion,2027,8703.786,8056.159,9351.413,lineal,0.8964,alta,8
el_palomar,poblacion,2030,9353.714,8549.525,10157.903,lineal,0.8964,alta,8
el_palomar,poblacion,2035,10436.929,9322.466,11551.391,lineal,0.8964,alta,8
el_portal,poblacion,2027,2232.464,1990.435,2474.494,lineal,0.9647,alta,8
el_portal,poblacion,2030,2664.036,2363.496,2964.575,lineal,0.9647,alta,8
el_portal,poblacion,2035,3383.321,2966.827,3799.816,lineal,0.9647,alta,8
fatima,poblacion,2027,1758.667,1618.096,1899.238,lineal,0.9744,alta,8
fatima,poblacion,2030,2054.667,1880.113,2229.22,lineal,0.9744,alta,8
fatima,poblacion,2035,2548.0,2306.1,2789.9,lineal,0.9744,alta,8
fatima_sur,poblacion,2027,9755.405,8161.659,11349.151,lineal,0.8915,alta,8
fatima_sur,poblacion,2030,11313.512,9334.483,13292.541,lineal,0.8915,alta,8
fatima_sur,poblacion,2035,13910.357,11167.775,16652.939,lineal,0.8915,alta,8
federal,poblacion,2027,102.976,91.098,114.854,lineal,0.9141,alta,8
federal,poblacion,2030,116.19,101.441,130.94,lineal,0.9141,alta,8
federal,poblacion,2035,138.214,117.774,158.654,lineal,0.9141,alta,8
horacio_quiroga,poblacion,2027,4598.06,4070.503,5125.616,lineal,0.9501,alta,8
horacio_quiroga,poblacion,2030,5383.274,4728.182,6038.365,lineal,0.9501,alta,8
horacio_quiroga,poblacion,2035,6691.964,5784.124,7599.804,lineal,0.9501,alta,8
itaembe_guazu,poblacion,2027,36634.202,32727.243,40541.162,lineal,0.8699,alta,8
itaembe_guazu,poblacion,2030,40079.881,35228.426,44931.336,lineal,0.8699,alta,8
itaembe_guazu,poblacion,2035,45822.679,39099.427,52545.93,lineal,0.8699,alta,8
itaembe_mini,poblacion,2027,5468.548,4889.986,6047.11,lineal,0.9218,alta,8
itaembe_mini,poblacion,2030,6146.369,5427.941,6864.797,lineal,0.9218,alta,8
itaembe_mini,poblacion,2035,7276.071,6280.459,8271.684,lineal,0.9218,alta,8
itaembe_pora,poblacion,2027,17984.452,15877.87,20091.035,lineal,0.9075,alta,8
itaembe_pora,poblacion,2030,20235.381,17619.539,22851.223,lineal,0.9075,alta,8
itaembe_pora,poblacion,2035,23986.929,20361.837,27612.02,lineal,0.9075,alta,8
la_eugenia,poblacion,2027,32.917,19.564,46.27,lineal,0.6706,media,8
la_eugenia,poblacion,2030,39.417,22.836,55.998,lineal,0.6706,media,8
la_eugenia,poblacion,2035,50.25,27.271,73.229,lineal,0.6706,media,8
las_dolores,poblacion,2027,1609.464,1509.8,1709.129,lineal,0.9594,alta,8
las_dolores,poblacion,2030,1774.786,1651.028,1898.544,lineal,0.9594,alta,8
las_dolores,poblacion,2035,2050.321,1878.815,2221.828,lineal,0.9594,alta,8
lomas_de_garupa,poblacion,2027,2079.917,1811.801,2348.032,lineal,0.9273,alta,8
lomas_de_garupa,poblacion,2030,2406.667,2073.735,2739.598,lineal,0.9273,alta,8
