poligono_id,anio,superficie_construida_km2,superficie_vegetacion_km2,edificios_total,confianza_inferior,confianza_superior
a_3_2_sector_b,2018,0.0116,0.1312,116,98,134
a_3_2_sector_b,2019,0.0165,0.1263,165,140,190
a_3_2_sector_b,2020,0.0166,0.1262,166,141,191
a_3_2_sector_b,2021,0.0207,0.1221,207,175,239
a_3_2_sector_b,2022,0.0208,0.122,208,176,240
a_3_2_sector_b,2023,0.0217,0.1211,217,184,250
a_3_2_sector_b,2024,0.0222,0.1206,222,188,256
a_3_2_sector_b,2025,0.0223,0.1205,223,189,257
colonia_laosiana,2018,0.0,0.2414,0,0,0
colonia_laosiana,2019,0.0001,0.2413,1,0,2
colonia_laosiana,2020,0.0001,0.2413,1,0,2
colonia_laosiana,2021,0.0001,0.2413,1,0,2
colonia_laosiana,2022,0.0001,0.2413,1,0,2
colonia_laosiana,2023,0.0001,0.2413,1,0,2
colonia_laosiana,2024,0.0001,0.2413,1,0,2
colonia_laosiana,2025,0.0001,0.2413,1,0,2
san_jorge,2018,0.0421,0.1111,421,357,485
san_jorge,2019,0.0462,0.107,462,392,532
san_jorge,2020,0.0464,0.1068,464,394,534
san_jorge,2021,0.0466,0.1066,466,396,536
san_jorge,2022,0.0468,0.1064,468,397,539
san_jorge,2023,0.0475,0.1057,475,403,547
san_jorge,2024,0.0479,0.1053,479,407,551
san_jorge,2025,0.0479,0.1053,479,407,551
23_de_septiembre,2018,0.0354,0.2183,354,300,408
23_de_septiembre,2019,0.0439,0.2098,439,373,505
23_de_septiembre,2020,0.0456,0.2081,456,387,525
23_de_septiembre,2021,0.0489,0.2048,489,415,563
23_de_septiembre,2022,0.0506,0.2031,506,430,582
23_de_septiembre,2023,0.0519,0.2018,519,441,597
23_de_septiembre,2024,0.054,0.1997,540,459,621
23_de_septiembre,2025,0.0553,0.1984,553,470,636
villa_mola,2018,0.0089,0.352,89,75,103
villa_mola,2019,0.0104,0.3505,104,88,120
villa_mola,2020,0.0106,0.3503,106,90,122
villa_mola,2021,0.0111,0.3498,111,94,128
villa_mola,2022,0.0114,0.3495,114,96,132
villa_mola,2023,0.0122,0.3487,122,103,141
villa_mola,2024,0.0124,0.3485,124,105,143
villa_mola,2025,0.0126,0.3483,126,107,145
san_marcos,2018,0.0112,0.3399,112,95,129
san_marcos,2019,0.0155,0.3356,155,131,179
san_marcos,2020,0.016,0.3351,160,136,184
san_marcos,2021,0.0179,0.3332,179,152,206
san_marcos,2022,0.0184,0.3327,184,156,212
san_marcos,2023,0.0199,0.3312,199,169,229
san_marcos,2024,0.0216,0.3295,216,183,249
san_marcos,2025,0.0225,0.3286,225,191,259
las_dolores,2018,0.0127,0.5355,127,107,147
las_dolores,2019,0.0135,0.5347,135,114,156
las_dolores,2020,0.0135,0.5347,135,114,156
las_dolores,2021,0.0147,0.5335,147,124,170
las_dolores,2022,0.015,0.5332,150,127,173
las_dolores,2023,0.0152,0.533,152,129,175
las_dolores,2024,0.0157,0.5325,157,133,181
las_dolores,2025,0.0161,0.5321,161,136,186
el_palomar,2018,0.1349,0.4111,1349,1146,1552
el_palomar,2019,0.149,0.397,1490,1266,1714
el_palomar,2020,0.1512,0.3948,1512,1285,1739
el_palomar,2021,0.1566,0.3894,1566,1331,1801
el_palomar,2022,0.1581,0.3879,1581,1343,1819
el_palomar,2023,0.1607,0.3853,1607,1365,1849
el_palomar,2024,0.1647,0.3813,1647,1399,1895
el_palomar,2025,0.1654,0.3806,1654,1405,1903
alta_gracia,2018,0.0236,0.591,236,200,272
alta_gracia,2019,0.0324,0.5822,324,275,373
alta_gracia,2020,0.0346,0.58,346,294,398
alta_gracia,2021,0.0381,0.5765,381,323,439
alta_gracia,2022,0.0391,0.5755,391,332,450
alta_gracia,2023,0.0429,0.5717,429,364,494
alta_gracia,2024,0.0455,0.5691,455,386,524
alta_gracia,2025,0.0471,0.5675,471,400,542
santa_rita,2018,0.0534,0.537,534,453,615
santa_rita,2019,0.071,0.5194,710,603,817
santa_rita,2020,0.0739,0.5165,739,628,850
