poligono_id,vulnerabilidad,uhi_verano,dist_caps_m,dist_escuela_m,dist_hospital_m,dist_transporte_m,vulnerabilidad_norm,uhi_verano_norm,acceso_servicios_norm,indice_prioridad,ranking
federal,54.93,0.57,3118.2,238.8,6866.2,2774.8,0.8919,0.3064,0.7788,0.6823,1
nemesio_parma,58.4,-2.38,556.3,1849.9,6407.8,406.1,1.0,0.0051,0.5605,0.5697,2
santa_helena,48.41,3.84,1413.1,328.2,3336.8,439.6,0.6887,0.6404,0.3081,0.56,3
complejo_gervasio_artigas,51.69,0.01,1827.0,574.2,5567.5,1113.9,0.7909,0.2492,0.5207,0.5473,4
norte,52.13,-0.74,1358.2,873.3,5093.7,554.1,0.8046,0.1726,0.4552,0.5102,5
san_isidro,40.77,5.89,370.8,255.1,2625.2,352.6,0.4506,0.8498,0.1789,0.4888,6
a4_nueva_esperanza,36.99,7.36,345.8,407.7,427.2,158.4,0.3328,1.0,0.0973,0.4623,7
complejo_habitacional_virgen_de_fatima,41.33,5.32,906.8,96.6,467.7,206.6,0.4681,0.7916,0.1059,0.4565,8
itaembe_guazu,44.64,3.03,1408.6,72.2,1022.2,602.1,0.5712,0.5577,0.2,0.4558,9
don_santiago,43.65,2.79,138.3,805.3,3293.6,135.8,0.5404,0.5332,0.2412,0.4485,10
a_3_2_sector_b,41.56,4.87,462.6,263.7,885.1,68.8,0.4752,0.7457,0.0961,0.4426,11
villa_bonita,42.23,3.45,870.8,425.4,1970.7,235.5,0.4961,0.6006,0.2075,0.4409,12
itaembe_mini,45.18,2.81,804.5,279.8,800.1,119.1,0.588,0.5352,0.1274,0.434,13
san_lucas,43.28,2.91,393.4,342.2,1637.8,386.6,0.5288,0.5455,0.1585,0.4227,14
colonia_laosiana,50.94,-1.14,615.9,897.6,956.7,582.7,0.7675,0.1318,0.2449,0.42,15
lomas_de_garupa,41.24,2.89,827.9,426.0,2126.7,262.4,0.4653,0.5434,0.2124,0.4129,16
monsenor_kemerer,40.78,3.24,639.6,543.1,1139.0,275.1,0.4509,0.5792,0.1771,0.4072,17
itaembe_pora,41.09,3.21,381.2,199.8,2274.0,218.6,0.4606,0.5761,0.1468,0.4011,18
fatima,44.48,1.77,718.0,372.6,240.8,309.4,0.5662,0.429,0.1293,0.394,19
posadas_completa,41.3,2.36,424.1,776.0,1489.9,193.3,0.4671,0.4893,0.1975,0.3929,20
nu_pora,40.45,3.17,387.9,351.2,1175.2,325.1,0.4406,0.572,0.1363,0.3887,21
san_martin,34.66,4.72,485.2,348.3,2874.5,125.3,0.2602,0.7303,0.1898,0.3801,22
23_de_septiembre,32.11,5.97,800.7,29.0,1369.7,144.0,0.1807,0.858,0.1164,0.3646,23
las_dolores,37.36,2.95,641.6,401.7,1794.8,409.9,0.3443,0.5495,0.1948,0.361,24
miguel_lanus,39.67,2.87,584.8,144.1,615.6,108.1,0.4163,0.5414,0.083,0.3538,25
cima_del_sol,39.93,1.67,715.0,522.9,679.1,469.2,0.4244,0.4188,0.1807,0.3496,26
chacra_32,30.63,5.96,232.0,55.6,2297.9,103.3,0.1346,0.857,0.1053,0.3425,27
san_marcos,39.94,1.84,350.6,142.8,1948.2,325.9,0.4247,0.4362,0.1339,0.3409,28
santa_rita,35.38,3.92,164.9,149.9,1941.1,164.0,0.2826,0.6486,0.1049,0.3391,29
san_jorge,38.37,,32.5,152.8,2224.5,427.9,0.3758,0.5,0.1292,0.3391,30
yacyreta,33.65,4.48,43.9,82.0,2488.9,163.8,0.2287,0.7058,0.1064,0.3351,31
luis_piedrabuena,35.89,2.61,211.0,319.0,2544.1,351.7,0.2985,0.5148,0.1716,0.3253,32
villa_mola,33.05,3.92,307.8,399.9,1264.2,316.2,0.21,0.6486,0.139,0.3203,33
rocamora,29.79,4.8,227.4,144.7,2077.1,31.2,0.1084,0.7385,0.1023,0.2956,34
el_palomar,28.0,5.29,422.0,45.8,705.8,334.6,0.0527,0.7886,0.0803,0.2818,35
aguas_corrientes,29.36,4.74,138.1,57.9,1923.4,16.2,0.095,0.7324,0.076,0.2805,36
villa_urquiza,30.97,4.5,293.4,32.1,460.1,53.2,0.1452,0.7079,0.0332,0.2804,37
el_brete,32.45,2.35,163.5,183.9,3537.3,40.9,0.1913,0.4883,0.1585,0.2706,38
villa_cabello,34.71,1.84,284.3,126.5,303.1,132.7,0.2618,0.4362,0.0467,0.2496,39
villa_sarita,28.48,3.5,117.8,72.1,2813.7,170.8,0.0676,0.6057,0.1239,0.2459,40
el_laurel,41.43,-2.43,849.7,259.4,2227.3,197.7,0.4712,0.0,0.1892,0.2452,41
centro,26.31,4.63,37.6,92.8,1651.6,175.9,0.0,0.7211,0.0769,0.2394,42
alta_gracia,27.35,3.47,54.8,80.9,2919.1,366.5,0.0324,0.6027,0.1417,0.2363,43
bajada_vieja,28.3,,71.9,327.1,2651.1,236.2,0.062,0.5,0.155,0.2213,44
